Pi,B0,B1,chi_q,R_g,case
0.03295987921510181,0.0,0.0,0.5,0.9999999999999948,symmetric Robin uniform source
0.03580608468921683,0.0,0.0,0.5,0.9999999999999944,symmetric Robin uniform source
0.038898070360158826,0.0,0.0,0.5,0.9999999999999939,symmetric Robin uniform source
0.042257060242041254,0.0,0.0,0.5,0.9999999999999934,symmetric Robin uniform source
0.04590611111980657,0.0,0.0,0.5,0.9999999999999928,symmetric Robin uniform source
0.0498702708156546,0.0,0.0,0.5,0.9999999999999922,symmetric Robin uniform source
0.05417675012235295,0.0,0.0,0.5,0.9999999999999916,symmetric Robin uniform source
0.058855109583614236,0.0,0.0,0.5,0.9999999999999908,symmetric Robin uniform source
0.0639374624036382,0.0,0.0,0.5,0.99999999999999,symmetric Robin uniform source
0.06945869487863095,0.0,0.0,0.5,0.9999999999999892,symmetric Robin uniform source
0.07545670586338787,0.0,0.0,0.5,0.9999999999999882,symmetric Robin uniform source
0.08197266691668736,0.0,0.0,0.5,0.9999999999999871,symmetric Robin uniform source
0.08905130491118532,0.0,0.0,0.5,0.999999999999986,symmetric Robin uniform source
0.09674120904770199,0.0,0.0,0.5,0.9999999999999849,symmetric Robin uniform source
0.10509516438130988,0.0,0.0,0.5,0.9999999999999835,symmetric Robin uniform source
0.11417051414861255,0.0,0.0,0.5,0.999999999999982,symmetric Robin uniform source
0.12402955338330181,0.0,0.0,0.5,0.9999999999999805,symmetric Robin uniform source
0.13473995652184997,0.0,0.0,0.5,0.9999999999999788,symmetric Robin uniform source
0.14637524193450982,0.0,0.0,0.5,0.999999999999977,symmetric Robin uniform source
0.1590152765702563,0.0,0.0,0.5,0.9999999999999749,symmetric Robin uniform source
0.17274682417965428,0.0,0.0,0.5,0.9999999999999727,symmetric Robin uniform source
0.1876641408787652,0.0,0.0,0.5,0.9999999999999702,symmetric Robin uniform source
0.20386962214216423,0.0,0.0,0.5,0.9999999999999678,symmetric Robin uniform source
0.2214745056661583,0.0,0.0,0.5,0.999999999999965,symmetric Robin uniform source
0.24059963492679937,0.0,0.0,0.5,0.9999999999999619,symmetric Robin uniform source
0.26137628867390916,0.0,0.0,0.5,0.9999999999999587,symmetric Robin uniform source
0.28394708205493224,0.0,0.0,0.5,0.9999999999999551,symmetric Robin uniform source
0.30846694555411125,0.0,0.0,0.5,0.9999999999999512,symmetric Robin uniform source
0.33510418846662116,0.0,0.0,0.5,0.9999999999999469,symmetric Robin uniform source
0.36404165420756235,0.0,0.0,0.5,0.9999999999999424,symmetric Robin uniform source
0.3954779753860906,0.0,0.0,0.5,0.9999999999999374,symmetric Robin uniform source
0.4296289372597634,0.0,0.0,0.5,0.9999999999999318,symmetric Robin uniform source
0.466728958928128,0.0,0.0,0.5,0.9999999999999261,symmetric Robin uniform source
0.5070327024327639,0.0,0.0,0.5,0.9999999999999196,symmetric Robin uniform source
0.5508168208089692,0.0,0.0,0.5,0.9999999999999127,symmetric Robin uniform source
0.5983818570880701,0.0,0.0,0.5,0.9999999999999053,symmetric Robin uniform source
0.6500543072854856,0.0,0.0,0.5,0.999999999999897,symmetric Robin uniform source
0.7061888615353162,0.0,0.0,0.5,0.9999999999998879,symmetric Robin uniform source
0.7671708387550601,0.0,0.0,0.5,0.9999999999998782,symmetric Robin uniform source
0.8334188315524842,0.0,0.0,0.5,0.9999999999998678,symmetric Robin uniform source
0.9053875795298242,0.0,0.0,0.5,0.9999999999998566,symmetric Robin uniform source
0.9835710907082518,0.0,0.0,0.5,0.9999999999998441,symmetric Robin uniform source
1.068506032498706,0.0,0.0,0.5,0.9999999999998306,symmetric Robin uniform source
1.1607754154953907,0.0,0.0,0.5,0.9999999999998159,symmetric Robin uniform source
1.2610125953782378,0.0,0.0,0.5,0.9999999999997999,symmetric Robin uniform source
1.3699056203942124,0.0,0.0,0.5,0.9999999999997828,symmetric Robin uniform source
1.488201954259429,0.0,0.0,0.5,0.9999999999997639,symmetric Robin uniform source
1.616713606901076,0.0,0.0,0.5,0.9999999999997434,symmetric Robin uniform source
1.7563227082575454,0.0,0.0,0.5,0.9999999999997212,symmetric Robin uniform source
1.9079875633964765,0.0,0.0,0.5,0.9999999999996971,symmetric Robin uniform source
2.0727492305143027,0.0,0.0,0.5,0.9999999999996709,symmetric Robin uniform source
2.251738666969955,0.0,0.0,0.5,0.9999999999996425,symmetric Robin uniform source
2.4461844924045875,0.0,0.0,0.5,0.9999999999996115,symmetric Robin uniform source
2.6574214222349384,0.0,0.0,0.5,0.9999999999995781,symmetric Robin uniform source
2.8868994294094907,0.0,0.0,0.5,0.9999999999995415,symmetric Robin uniform source
3.1361936973156643,0.0,0.0,0.5,0.999999999999502,symmetric Robin uniform source
3.4070154321567037,0.0,0.0,0.5,0.999999999999459,symmetric Robin uniform source
3.701223609016635,0.0,0.0,0.5,0.9999999999994122,symmetric Robin uniform source
4.020837732240728,0.0,0.0,0.5,0.9999999999993615,symmetric Robin uniform source
4.368051697721162,0.0,0.0,0.5,0.9999999999993064,symmetric Robin uniform source
4.745248852241524,0.0,0.0,0.5,0.9999999999992464,symmetric Robin uniform source
5.155018353250489,0.0,0.0,0.5,0.9999999999991814,symmetric Robin uniform source
5.600172941361422,0.0,0.0,0.5,0.9999999999991107,symmetric Robin uniform source
6.083768247572081,0.0,0.0,0.5,0.9999999999990339,symmetric Robin uniform source
6.609123767732884,0.0,0.0,0.5,0.9999999999989505,symmetric Robin uniform source
7.179845648236798,0.0,0.0,0.5,0.9999999999988597,symmetric Robin uniform source
7.799851439336574,0.0,0.0,0.5,0.9999999999987613,symmetric Robin uniform source
