sensor_id,model,train_fraction,cv_train_m2s,n,mae,rmse,bias,spearman,best_baseline_mae,mae_skill_vs_best_baseline,failure_interpretation
Piezo.4,M0_drained,0.3,,420,0.639065934065934,0.9415085861040504,-0.4813492063492063,,0.639065934065934,0.0,negative_or_no_gain_against_baseline
Piezo.4,M1_undrained,0.3,,420,0.7815201465201466,0.9611139396602444,0.5186507936507937,,0.639065934065934,-0.22291003926288955,negative_or_no_gain_against_baseline
Piezo.4,M4_constant_source,0.3,1.0295755673125129e-07,420,0.7784245343685259,0.9579146364060702,0.5134778222843491,0.63747616843984,0.639065934065934,-0.21806607561750257,negative_or_no_gain_against_baseline
Piezo.4,M5_convolution_qt,0.3,4.2944879887892724e-07,420,0.9999259307226288,1.0583091307966337,0.292833801158976,-0.3555058152142892,0.639065934065934,-0.5646678651149382,negative_or_no_gain_against_baseline
Piezo.6,M0_drained,0.3,,420,0.7686042274052478,1.1440273138342434,0.0421465014577259,,0.7686042274052478,0.0,negative_or_no_gain_against_baseline
Piezo.6,M1_undrained,0.3,,420,1.2853680758017494,1.546962022065909,1.042146501457726,,0.7686042274052478,-0.6723406272966503,negative_or_no_gain_against_baseline
Piezo.6,M4_constant_source,0.3,0.0001594159037455,420,1.1392133564614657,1.412613038422236,0.839317980178252,0.235112323511496,0.7686042274052478,-0.48218460924599316,negative_or_no_gain_against_baseline
Piezo.6,M5_convolution_qt,0.3,0.0005422221006501,420,1.1756616029936622,1.4473701056843462,0.7227218136255836,-0.5036809478979464,0.7686042274052478,-0.5296059546310468,negative_or_no_gain_against_baseline
Piezo.7,M0_drained,0.3,,420,0.7494227994227995,1.179704463091487,-0.6113997113997113,,0.7494227994227995,0.0,negative_or_no_gain_against_baseline
Piezo.7,M1_undrained,0.3,,420,0.8519480519480519,1.0811582666004784,0.3886002886002885,,0.7494227994227995,-0.13680562241263083,negative_or_no_gain_against_baseline
Piezo.7,M4_constant_source,0.3,1e-10,420,0.8509315489092946,1.080550290357338,0.3869066226654425,0.3919026151858658,0.7494227994227995,-0.1354492411555619,negative_or_no_gain_against_baseline
Piezo.7,M5_convolution_qt,0.3,1e-10,420,0.8470905385018795,1.0624955552475028,0.1648654694873177,-0.1892632996157192,0.7494227994227995,-0.13032394951728588,negative_or_no_gain_against_baseline
