dataset,scale,validation,held_out_record,model,n,mae,rmse,bias,spearman
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_1.001cms.txt,M5_single_boundary_proxy,3425,0.046551258002604,0.05516730537373547,0.036946750950724305,0.9914196903970506
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_controlled shear stress_unfailed.txt,M0_drained,4439,0.28080849046839884,0.39199457412230715,-0.2781208780094609,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_controlled shear stress_unfailed.txt,M1_undrained,4439,0.7219256601832483,0.772928192086695,0.721879121990539,
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_controlled shear stress_unfailed.txt,M4_constant_source,4439,0.13859755766267912,0.167614487555075,-0.1356864925005103,0.9783193417183831
Oso,lab,leave-one-record-out pressure retention,clay_consolidation_400kPa_controlled shear stress_unfailed.txt,M5_single_boundary_proxy,4439,0.1400597091230972,0.1693915876322523,-0.13716196642115908,0.9783193417183831
Oso,lab,leave-one-record-out pressure retention,clayey silt_consolidation_200kPa_controlled shear stress_unfailed.txt,M0_drained,3977,0.22465181623389005,0.31085699514092824,-0.22416362587232053,
Oso,lab,leave-one-record-out pressure retention,clayey silt_consolidation_200kPa_controlled shear stress_unfailed.txt,M1_undrained,3977,0.7758741603279589,0.8051737822876537,0.7758363741276794,
Oso,lab,leave-one-record-out pressure retention,clayey silt_consolidation_200kPa_controlled shear stress_unfailed.txt,M4_constant_source,3977,0.10610157864866997,0.10921003211586523,0.10319830554115131,0.9995302963234908
Oso,lab,leave-one-record-out pressure retention,clayey silt_consolidation_200kPa_controlled shear stress_unfailed.txt,M5_single_boundary_proxy,3977,0.10356835236827765,0.10672332157371939,0.10063372323560577,0.9995302963234908
Oso,lab,leave-one-record-out pressure retention,clayey_silt_consolidation_400kPa_controlled shear stress_gouge.txt,M0_drained,2680,0.3483854227876366,0.4621468767670406,-0.347373038841227,
Oso,lab,leave-one-record-out pressure retention,clayey_silt_consolidation_400kPa_controlled shear stress_gouge.txt,M1_undrained,2680,0.65263261693501,0.7203010884505703,0.6526269611587731,
Oso,lab,leave-one-record-out pressure retention,clayey_silt_consolidation_400kPa_controlled shear stress_gouge.txt,M4_constant_source,2680,0.32197413793046725,0.3605267843440047,0.30951050574853944,0.9999810011276691
Oso,lab,leave-one-record-out pressure retention,clayey_silt_consolidation_400kPa_controlled shear stress_gouge.txt,M5_single_boundary_proxy,2680,0.3203015942533086,0.35864435769539127,0.30769203949261753,0.9999810011276691
