model,records,prediction_points,median_heldout_rmse,mean_heldout_rmse,median_heldout_mae,median_heldout_bias,median_heldout_r2,median_prediction_rmse,mean_prediction_rmse,median_prediction_mae,median_prediction_bias,median_prediction_r2
double,11,1980,0.0388021751924071,0.043933055253492156,0.0372844046168495,0.0372840909948406,-0.9403831557490776,0.06638429005038594,0.06253430389440644,0.048759648942400424,0.010687433926657402,0.9434597992389773
single,11,1980,0.0371970763058578,0.04393561316402828,0.0363033986575087,0.0363033986575087,-1.030872247942333,0.06635327284150098,0.06251731863602882,0.049250915024213054,0.010736533393269633,0.9443537069867702
