sensor_id,model,n_test_points,mae,rmse,bias,obs_range_R,pred_range_R,amplitude_ratio_pred_obs,residual_p05,residual_p95,best_baseline_mae,mae_skill_vs_best_baseline,failure_interpretation
Piezo.4,M0_drained,210,0.6406593406593406,0.942378084136653,-0.4824664224664225,3.7948717948717947,0.0,0.0,-2.1811538461538458,0.7201282051282046,0.639065934065934,0.0,negative_or_no_gain_against_baseline
Piezo.4,M1_undrained,210,0.7805372405372406,0.960803626412923,0.5175335775335775,3.7948717948717947,0.0,0.0,-1.181153846153846,1.7201282051282045,0.639065934065934,-0.22291003926288955,negative_or_no_gain_against_baseline
Piezo.4,M4_constant_source,210,0.7775465456854596,0.9576106058579329,0.512364001449423,3.7948717948717947,0.002839442420852434,0.0007482314487381414,-1.1858700071754507,1.7150096841020497,0.639065934065934,-0.21806607561750257,negative_or_no_gain_against_baseline
Piezo.4,M5_convolution_qt,210,0.9995661223015688,1.0587207814769022,0.29053624452288473,3.7948717948717947,0.9871771263508489,0.2601345130248859,-1.2474863541496126,1.7184341844157984,0.639065934065934,-0.5646678651149382,negative_or_no_gain_against_baseline
Piezo.6,M0_drained,210,0.7689868804664723,1.1490235725244173,0.0385689990281827,9.50765306122449,0.0,0.0,-1.5903061224489796,1.8871173469387754,0.7686042274052478,0.0,negative_or_no_gain_against_baseline
Piezo.6,M1_undrained,210,1.287645772594752,1.5483517585720437,1.0385689990281826,9.50765306122449,0.0,0.0,-0.5903061224489796,2.8871173469387754,0.7686042274052478,-0.6723406272966503,negative_or_no_gain_against_baseline
Piezo.6,M4_constant_source,210,1.1415149905702204,1.4146557857061839,0.8358778685303516,9.50765306122449,0.11489462627400149,0.012084436141510219,-0.7782229283144266,2.6985537936699364,0.7686042274052478,-0.48218460924599316,negative_or_no_gain_against_baseline
Piezo.6,M5_convolution_qt,210,1.1773262743084816,1.4493062291817917,0.7182470957617373,9.50765306122449,0.9851981272708924,0.10362158998931843,-1.0982379078765956,2.852627019718065,0.7686042274052478,-0.5296059546310468,negative_or_no_gain_against_baseline
Piezo.7,M0_drained,210,0.7481962481962482,1.1792485105854316,-0.6126984126984126,6.484848484848485,0.0,0.0,-2.8292929292929294,0.6457070707070701,0.7494227994227995,0.0,negative_or_no_gain_against_baseline
Piezo.7,M1_undrained,210,0.8484848484848485,1.0794583013350416,0.38730158730158726,6.484848484848485,0.0,0.0,-1.8292929292929294,1.6457070707070702,0.7494227994227995,-0.13680562241263083,negative_or_no_gain_against_baseline
Piezo.7,M4_constant_source,210,0.8474844829896178,1.0788514077409006,0.3856079277695701,6.484848484848485,5.351532806341375e-06,8.252363673330157e-07,-1.8309852410888496,1.6440154003468335,0.7494227994227995,-0.1354492411555619,negative_or_no_gain_against_baseline
Piezo.7,M5_convolution_qt,210,0.8462883030529762,1.0615367666327082,0.16237969280048997,6.484848484848485,0.9872079405909568,0.1522330001845868,-1.9543934869552904,1.0412408665208284,0.7494227994227995,-0.13032394951728588,negative_or_no_gain_against_baseline
