t_s,pore_pressure_kpa,dataset_id,sensor_id,p0_kpa,Pu_train_kpa,h_m,cv_train_m2s,R_obs
24620.47,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.48,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.49,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.5,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.51,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.52,2.32,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0076923076923074
24620.53,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.54,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.55,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.56,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.57,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.58,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.59,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.6,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.61,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.62,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.63,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.64,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.65,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.66,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.67,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.68,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.69,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.7,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.71,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.72,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.73,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.74,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.75,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.76,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.77,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.78,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.79,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.8,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.81,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.82,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.83,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.84,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.85,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.86,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.87,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.88,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.89,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.9,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.91,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.92,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.93,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24620.94,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24620.95,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.96,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24620.97,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.98,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24620.99,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.0,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.01,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.02,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.03,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.04,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.05,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.06,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.07,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
