"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24622.04,0.61935,0.20975,0.12173,0.619,0.210,0.122,23.39,2.81,37.58,2.29,0.28,3.69
24622.05,0.61935,0.21101,0.12199,0.619,0.211,0.122,23.24,2.81,37.73,2.28,0.28,3.70
24622.06,0.61922,0.21038,0.12212,0.619,0.210,0.122,23.39,2.81,37.58,2.29,0.28,3.69
24622.07,0.6196,0.21101,0.12173,0.620,0.211,0.122,23.08,2.97,37.58,2.26,0.29,3.69
24622.08,0.6196,0.21101,0.12186,0.620,0.211,0.122,23.08,2.81,37.29,2.26,0.28,3.66
24622.09,0.61973,0.21101,0.12199,0.620,0.211,0.122,23.24,2.66,37.87,2.28,0.26,3.71
24622.10,0.61986,0.21038,0.12173,0.620,0.210,0.122,23.08,2.66,37.44,2.26,0.26,3.67
24622.11,0.62011,0.21101,0.12199,0.620,0.211,0.122,22.93,2.66,37.58,2.25,0.26,3.69
24622.12,0.62011,0.21038,0.12186,0.620,0.210,0.122,23.24,2.81,37.87,2.28,0.28,3.71
24622.13,0.62037,0.21101,0.12186,0.620,0.211,0.122,23.24,2.97,37.44,2.28,0.29,3.67
24622.14,0.62062,0.21164,0.12199,0.621,0.212,0.122,23.24,2.66,37.58,2.28,0.26,3.69
24622.15,0.62087,0.21101,0.12199,0.621,0.211,0.122,23.08,2.81,37.29,2.26,0.28,3.66
24622.16,0.62075,0.21038,0.12199,0.621,0.210,0.122,23.08,2.81,37.58,2.26,0.28,3.69
24622.17,0.62113,0.21164,0.12199,0.621,0.212,0.122,23.55,2.81,37.58,2.31,0.28,3.69
24622.18,0.62075,0.21164,0.12186,0.621,0.212,0.122,23.55,2.97,37.58,2.31,0.29,3.69
24622.19,0.621,0.21101,0.12186,0.621,0.211,0.122,23.24,2.66,37.58,2.28,0.26,3.69
24622.20,0.62138,0.21101,0.12199,0.621,0.211,0.122,23.24,2.81,37.29,2.28,0.28,3.66
24622.21,0.62151,0.20975,0.12186,0.622,0.210,0.122,23.24,2.34,37.44,2.28,0.23,3.67
24622.22,0.62164,0.21228,0.12225,0.622,0.212,0.122,23.24,2.66,37.58,2.28,0.26,3.69
24622.23,0.62176,0.21228,0.12212,0.622,0.212,0.122,23.24,2.50,37.29,2.28,0.25,3.66
24622.24,0.62176,0.21038,0.12212,0.622,0.210,0.122,22.93,2.81,37.44,2.25,0.28,3.67
24622.25,0.62214,0.21101,0.12199,0.622,0.211,0.122,23.39,2.81,37.73,2.29,0.28,3.70
24622.26,0.62252,0.21038,0.12212,0.623,0.210,0.122,23.08,2.66,37.73,2.26,0.26,3.70
24622.27,0.62252,0.21164,0.12199,0.623,0.212,0.122,23.39,2.50,37.44,2.29,0.25,3.67
24622.28,0.62278,0.21228,0.12212,0.623,0.212,0.122,23.24,2.34,37.58,2.28,0.23,3.69
24622.29,0.62291,0.21038,0.12199,0.623,0.210,0.122,23.08,2.81,37.87,2.26,0.28,3.71
24622.30,0.62291,0.21164,0.12212,0.623,0.212,0.122,23.24,2.50,37.58,2.28,0.25,3.69
24622.31,0.62303,0.21101,0.12199,0.623,0.211,0.122,23.08,2.66,37.44,2.26,0.26,3.67
24622.32,0.62303,0.21164,0.12212,0.623,0.212,0.122,23.24,2.03,37.73,2.28,0.20,3.70
24622.33,0.62341,0.21228,0.12212,0.623,0.212,0.122,23.24,2.66,37.87,2.28,0.26,3.71
24622.34,0.62329,0.21164,0.12225,0.623,0.212,0.122,23.24,2.34,37.58,2.28,0.23,3.69
24622.35,0.62367,0.21291,0.12212,0.624,0.213,0.122,23.08,2.66,37.73,2.26,0.26,3.70
24622.36,0.62354,0.21164,0.12212,0.624,0.212,0.122,23.24,2.34,37.44,2.28,0.23,3.67
24622.37,0.62367,0.21228,0.12225,0.624,0.212,0.122,23.39,2.34,37.44,2.29,0.23,3.67
24622.38,0.62392,0.21228,0.12212,0.624,0.212,0.122,23.39,2.34,37.58,2.29,0.23,3.69
24622.39,0.6243,0.21164,0.12225,0.624,0.212,0.122,23.39,2.19,37.87,2.29,0.21,3.71
24622.40,0.62417,0.21164,0.12225,0.624,0.212,0.122,23.24,2.34,37.87,2.28,0.23,3.71
24622.41,0.6243,0.21228,0.12238,0.624,0.212,0.122,23.55,2.34,38.02,2.31,0.23,3.73
24622.42,0.6243,0.21291,0.12199,0.624,0.213,0.122,23.24,2.19,37.58,2.28,0.21,3.69
24622.43,0.62456,0.21228,0.12212,0.625,0.212,0.122,23.24,2.34,37.87,2.28,0.23,3.71
24622.44,0.62468,0.21228,0.12212,0.625,0.212,0.122,23.08,2.50,37.73,2.26,0.25,3.70
24622.45,0.62481,0.21164,0.12225,0.625,0.212,0.122,23.39,2.50,37.58,2.29,0.25,3.69
24622.46,0.62494,0.21228,0.1225,0.625,0.212,0.123,23.24,2.34,37.87,2.28,0.23,3.71
24622.47,0.62506,0.21291,0.12212,0.625,0.213,0.122,23.39,2.34,37.73,2.29,0.23,3.70
24622.48,0.62532,0.21291,0.12238,0.625,0.213,0.122,22.93,2.19,37.73,2.25,0.21,3.70
24622.49,0.62506,0.21228,0.1225,0.625,0.212,0.123,23.08,2.50,37.87,2.26,0.25,3.71
24622.50,0.62519,0.21228,0.12238,0.625,0.212,0.122,23.39,2.50,37.87,2.29,0.25,3.71
24622.51,0.62557,0.21291,0.12263,0.626,0.213,0.123,23.39,2.34,37.87,2.29,0.23,3.71
24622.52,0.62532,0.21291,0.12225,0.625,0.213,0.122,23.08,2.19,37.58,2.26,0.21,3.69
24622.53,0.6257,0.21164,0.12238,0.626,0.212,0.122,23.24,2.34,37.87,2.28,0.23,3.71
24622.54,0.6257,0.21164,0.12263,0.626,0.212,0.123,23.08,2.50,37.87,2.26,0.25,3.71
24622.55,0.62595,0.21291,0.12238,0.626,0.213,0.122,23.55,2.19,38.02,2.31,0.21,3.73
24622.56,0.62583,0.21164,0.12263,0.626,0.212,0.123,23.24,2.34,37.87,2.28,0.23,3.71
24622.57,0.62595,0.21354,0.1225,0.626,0.214,0.123,23.39,2.34,38.17,2.29,0.23,3.74
24622.58,0.62608,0.21164,0.12238,0.626,0.212,0.122,23.08,2.50,37.87,2.26,0.25,3.71
24622.59,0.62608,0.21228,0.1225,0.626,0.212,0.123,23.39,2.19,37.87,2.29,0.21,3.71
24622.60,0.62621,0.21354,0.12263,0.626,0.214,0.123,23.24,2.19,38.31,2.28,0.21,3.76
24622.61,0.62633,0.21291,0.12263,0.626,0.213,0.123,23.24,2.19,37.87,2.28,0.21,3.71
24622.62,0.62646,0.21291,0.1225,0.626,0.213,0.123,23.08,2.34,37.87,2.26,0.23,3.71
24622.63,0.62659,0.21354,0.12263,0.627,0.214,0.123,23.39,2.50,38.17,2.29,0.25,3.74
24622.64,0.62659,0.21291,0.12263,0.627,0.213,0.123,22.93,2.50,38.02,2.25,0.25,3.73
24622.65,0.62671,0.21291,0.12276,0.627,0.213,0.123,23.55,2.34,37.87,2.31,0.23,3.71
24622.66,0.62684,0.21354,0.12263,0.627,0.214,0.123,23.08,2.34,38.02,2.26,0.23,3.73
24622.67,0.62684,0.21291,0.12276,0.627,0.213,0.123,23.39,2.19,38.02,2.29,0.21,3.73
24622.68,0.6271,0.21291,0.12276,0.627,0.213,0.123,23.39,2.19,38.02,2.29,0.21,3.73
24622.69,0.62697,0.21291,0.12289,0.627,0.213,0.123,23.24,2.34,38.17,2.28,0.23,3.74
24622.70,0.62722,0.21291,0.12289,0.627,0.213,0.123,23.39,2.50,38.02,2.29,0.25,3.73
24622.71,0.62735,0.21354,0.12289,0.627,0.214,0.123,23.24,2.50,38.17,2.28,0.25,3.74
24622.72,0.62735,0.21228,0.12276,0.627,0.212,0.123,23.08,2.66,38.17,2.26,0.26,3.74
24622.73,0.6276,0.21228,0.12289,0.628,0.212,0.123,22.93,2.81,38.02,2.25,0.28,3.73
24622.74,0.62773,0.21291,0.1225,0.628,0.213,0.123,23.24,2.50,37.73,2.28,0.25,3.70
24622.75,0.62773,0.21101,0.12263,0.628,0.211,0.123,23.08,2.50,38.17,2.26,0.25,3.74
24622.76,0.62798,0.21228,0.12289,0.628,0.212,0.123,23.24,2.50,38.31,2.28,0.25,3.76
24622.77,0.62824,0.21228,0.12276,0.628,0.212,0.123,23.08,2.50,38.02,2.26,0.25,3.73
24622.78,0.62849,0.21354,0.12289,0.628,0.214,0.123,23.08,2.66,37.87,2.26,0.26,3.71
24622.79,0.62836,0.21354,0.12289,0.628,0.214,0.123,23.24,2.81,38.46,2.28,0.28,3.77
24622.80,0.62849,0.21291,0.12289,0.628,0.213,0.123,23.24,2.66,38.17,2.28,0.26,3.74
24622.81,0.62875,0.21354,0.12289,0.629,0.214,0.123,23.39,2.50,38.17,2.29,0.25,3.74
24622.82,0.629,0.21291,0.12289,0.629,0.213,0.123,23.39,2.50,38.17,2.29,0.25,3.74
24622.83,0.629,0.21354,0.12315,0.629,0.214,0.123,23.08,2.50,38.31,2.26,0.25,3.76
24622.84,0.62913,0.21354,0.12302,0.629,0.214,0.123,23.24,2.50,38.17,2.28,0.25,3.74
24622.85,0.62913,0.21354,0.12327,0.629,0.214,0.123,23.24,2.81,38.17,2.28,0.28,3.74
24622.86,0.62951,0.21354,0.12302,0.630,0.214,0.123,23.08,2.50,38.17,2.26,0.25,3.74
24622.87,0.62938,0.21354,0.12289,0.629,0.214,0.123,23.08,2.50,38.02,2.26,0.25,3.73
24622.88,0.62938,0.21417,0.12315,0.629,0.214,0.123,23.24,2.50,38.46,2.28,0.25,3.77
24622.89,0.62963,0.21354,0.12289,0.630,0.214,0.123,23.39,2.34,38.17,2.29,0.23,3.74
24622.90,0.63002,0.21291,0.12302,0.630,0.213,0.123,23.24,2.34,38.17,2.28,0.23,3.74
24622.91,0.63014,0.21417,0.12276,0.630,0.214,0.123,23.08,2.34,38.02,2.26,0.23,3.73
24622.92,0.63014,0.21291,0.12289,0.630,0.213,0.123,23.08,2.50,38.31,2.26,0.25,3.76
24622.93,0.63065,0.21417,0.12289,0.631,0.214,0.123,22.93,2.66,38.31,2.25,0.26,3.76
24622.94,0.63078,0.21417,0.12289,0.631,0.214,0.123,23.39,2.66,38.46,2.29,0.26,3.77
24622.95,0.63078,0.21417,0.12302,0.631,0.214,0.123,23.24,2.34,38.02,2.28,0.23,3.73
24622.96,0.6309,0.21417,0.12315,0.631,0.214,0.123,23.24,2.66,38.02,2.28,0.26,3.73
24622.97,0.63103,0.21354,0.12302,0.631,0.214,0.123,23.24,2.34,38.31,2.28,0.23,3.76
24622.98,0.63141,0.21417,0.12302,0.631,0.214,0.123,23.55,2.50,38.17,2.31,0.25,3.74
24622.99,0.63141,0.2148,0.12289,0.631,0.215,0.123,23.55,2.50,38.31,2.31,0.25,3.76
24623.00,0.63154,0.21417,0.12302,0.632,0.214,0.123,23.08,2.50,38.17,2.26,0.25,3.74
24623.01,0.63167,0.21354,0.12289,0.632,0.214,0.123,23.24,2.50,38.31,2.28,0.25,3.76
24623.02,0.63192,0.21417,0.12289,0.632,0.214,0.123,23.24,2.50,38.31,2.28,0.25,3.76
24623.03,0.63217,0.2148,0.12302,0.632,0.215,0.123,23.55,2.50,38.61,2.31,0.25,3.79
24623.04,0.63205,0.21354,0.12315,0.632,0.214,0.123,23.39,2.34,38.31,2.29,0.23,3.76
24623.05,0.63243,0.2148,0.12315,0.632,0.215,0.123,23.39,2.50,38.31,2.29,0.25,3.76
24623.06,0.6323,0.21291,0.12302,0.632,0.213,0.123,23.55,2.50,38.31,2.31,0.25,3.76
24623.07,0.63281,0.21354,0.12327,0.633,0.214,0.123,23.39,2.34,38.31,2.29,0.23,3.76
24623.08,0.63294,0.21417,0.12302,0.633,0.214,0.123,23.08,2.34,38.17,2.26,0.23,3.74
24623.09,0.63306,0.21417,0.12302,0.633,0.214,0.123,23.55,2.34,38.17,2.31,0.23,3.74
24623.10,0.63306,0.21354,0.12327,0.633,0.214,0.123,23.24,2.34,38.31,2.28,0.23,3.76
24623.11,0.63344,0.2148,0.12302,0.633,0.215,0.123,23.55,2.34,38.46,2.31,0.23,3.77
24623.12,0.63332,0.21417,0.12315,0.633,0.214,0.123,23.08,2.03,38.31,2.26,0.20,3.76
24623.13,0.63357,0.21543,0.12327,0.634,0.215,0.123,23.55,2.34,38.46,2.31,0.23,3.77
24623.14,0.63382,0.21417,0.12327,0.634,0.214,0.123,23.24,2.03,38.46,2.28,0.20,3.77
24623.15,0.63395,0.21354,0.12327,0.634,0.214,0.123,23.08,1.88,38.46,2.26,0.18,3.77
24623.16,0.63382,0.21543,0.12327,0.634,0.215,0.123,23.24,2.03,38.46,2.28,0.20,3.77
24623.17,0.63408,0.2148,0.12302,0.634,0.215,0.123,23.24,1.72,38.46,2.28,0.17,3.77
24623.18,0.63433,0.21417,0.12315,0.634,0.214,0.123,23.55,2.03,38.31,2.31,0.20,3.76
24623.19,0.63446,0.21417,0.12353,0.634,0.214,0.124,23.24,1.88,38.46,2.28,0.18,3.77
24623.20,0.63459,0.21417,0.12315,0.635,0.214,0.123,23.08,2.03,38.02,2.26,0.20,3.73
24623.21,0.63471,0.21417,0.1234,0.635,0.214,0.123,23.08,1.72,38.46,2.26,0.17,3.77
24623.22,0.63459,0.2148,0.12379,0.635,0.215,0.124,23.08,2.03,38.46,2.26,0.20,3.77
24623.23,0.63484,0.21417,0.12327,0.635,0.214,0.123,23.08,1.56,38.75,2.26,0.15,3.80
24623.24,0.63471,0.21543,0.1234,0.635,0.215,0.123,22.93,1.88,38.61,2.25,0.18,3.79
24623.25,0.63535,0.2148,0.12353,0.635,0.215,0.124,23.24,1.88,38.31,2.28,0.18,3.76
24623.26,0.63509,0.21354,0.1234,0.635,0.214,0.123,23.08,1.72,38.31,2.26,0.17,3.76
24623.27,0.63535,0.21606,0.12327,0.635,0.216,0.123,23.24,1.56,38.17,2.28,0.15,3.74
24623.28,0.6356,0.2148,0.1234,0.636,0.215,0.123,23.08,1.88,38.46,2.26,0.18,3.77
24623.29,0.6356,0.2148,0.12353,0.636,0.215,0.124,23.08,1.56,38.75,2.26,0.15,3.80
24623.30,0.6356,0.2148,0.12366,0.636,0.215,0.124,23.08,1.41,38.75,2.26,0.14,3.80
24623.31,0.6356,0.21417,0.12353,0.636,0.214,0.124,23.08,1.41,38.46,2.26,0.14,3.77
24623.32,0.63573,0.2148,0.12366,0.636,0.215,0.124,23.24,1.41,38.31,2.28,0.14,3.76
24623.33,0.63573,0.21417,0.12379,0.636,0.214,0.124,23.39,1.41,38.61,2.29,0.14,3.79
24623.34,0.63586,0.2148,0.12366,0.636,0.215,0.124,23.08,1.41,38.46,2.26,0.14,3.77
24623.35,0.63611,0.21543,0.12353,0.636,0.215,0.124,22.93,1.41,38.61,2.25,0.14,3.79
24623.36,0.63611,0.2148,0.12405,0.636,0.215,0.124,23.55,1.56,38.46,2.31,0.15,3.77
24623.37,0.63611,0.2148,0.12379,0.636,0.215,0.124,23.08,1.25,38.46,2.26,0.12,3.77
24623.38,0.63649,0.2148,0.12366,0.636,0.215,0.124,23.39,1.25,38.61,2.29,0.12,3.79
24623.39,0.63649,0.21606,0.12392,0.636,0.216,0.124,23.24,1.09,38.31,2.28,0.11,3.76
24623.40,0.63662,0.2148,0.12392,0.637,0.215,0.124,23.24,0.94,38.46,2.28,0.09,3.77
24623.41,0.63662,0.2148,0.12379,0.637,0.215,0.124,23.08,1.09,38.61,2.26,0.11,3.79
24623.42,0.637,0.21606,0.12392,0.637,0.216,0.124,23.39,1.09,38.46,2.29,0.11,3.77
24623.43,0.63687,0.21606,0.12379,0.637,0.216,0.124,23.55,1.09,38.61,2.31,0.11,3.79
24623.44,0.63713,0.21543,0.12366,0.637,0.215,0.124,23.08,0.94,38.61,2.26,0.09,3.79
24623.45,0.63713,0.21543,0.12392,0.637,0.215,0.124,22.93,0.94,38.61,2.25,0.09,3.79
24623.46,0.63738,0.2148,0.12417,0.637,0.215,0.124,23.39,0.78,38.31,2.29,0.08,3.76
24623.47,0.63751,0.2148,0.12405,0.638,0.215,0.124,23.55,0.94,38.46,2.31,0.09,3.77
24623.48,0.63751,0.21543,0.12392,0.638,0.215,0.124,23.24,0.94,38.61,2.28,0.09,3.79
24623.49,0.63763,0.21543,0.12392,0.638,0.215,0.124,23.08,1.25,38.75,2.26,0.12,3.80
24623.50,0.63789,0.21606,0.12353,0.638,0.216,0.124,23.08,0.63,38.31,2.26,0.06,3.76
24623.51,0.63789,0.21606,0.12379,0.638,0.216,0.124,23.24,0.94,38.61,2.28,0.09,3.79
24623.52,0.63801,0.2148,0.12392,0.638,0.215,0.124,23.24,0.78,38.46,2.28,0.08,3.77
24623.53,0.63814,0.21543,0.12405,0.638,0.215,0.124,23.08,0.94,38.46,2.26,0.09,3.77
24623.54,0.63852,0.21669,0.12379,0.639,0.217,0.124,23.08,0.78,38.46,2.26,0.08,3.77
24623.55,0.63865,0.21606,0.12392,0.639,0.216,0.124,23.24,1.09,38.61,2.28,0.11,3.79
24623.56,0.63878,0.21669,0.12379,0.639,0.217,0.124,23.24,0.63,38.17,2.28,0.06,3.74
24623.57,0.6389,0.21543,0.12392,0.639,0.215,0.124,23.08,0.47,38.46,2.26,0.05,3.77
24623.58,0.6389,0.21606,0.12405,0.639,0.216,0.124,23.08,0.63,38.31,2.26,0.06,3.76
24623.59,0.63928,0.21606,0.12392,0.639,0.216,0.124,23.24,0.78,38.31,2.28,0.08,3.76
24623.60,0.63954,0.21606,0.12379,0.640,0.216,0.124,23.55,0.47,38.17,2.31,0.05,3.74
24623.61,0.63967,0.21606,0.12392,0.640,0.216,0.124,22.93,0.63,38.17,2.25,0.06,3.74
24623.62,0.63979,0.21606,0.1243,0.640,0.216,0.124,23.24,0.94,38.31,2.28,0.09,3.76
24623.63,0.64005,0.21606,0.12405,0.640,0.216,0.124,23.24,0.63,38.31,2.28,0.06,3.76
24623.64,0.64043,0.21606,0.12405,0.640,0.216,0.124,23.24,0.63,38.31,2.28,0.06,3.76
24623.65,0.64017,0.21606,0.12443,0.640,0.216,0.124,23.39,0.63,38.17,2.29,0.06,3.74
24623.66,0.64068,0.21606,0.12392,0.641,0.216,0.124,23.39,0.31,38.46,2.29,0.03,3.77
24623.67,0.64081,0.21732,0.12417,0.641,0.217,0.124,23.24,0.47,38.46,2.28,0.05,3.77
24623.68,0.64081,0.21606,0.12405,0.641,0.216,0.124,23.39,0.63,38.31,2.29,0.06,3.76
24623.69,0.64119,0.21732,0.12417,0.641,0.217,0.124,23.39,0.47,38.31,2.29,0.05,3.76
24623.70,0.64144,0.21669,0.12443,0.641,0.217,0.124,23.08,0.63,38.46,2.26,0.06,3.77
24623.71,0.64182,0.21543,0.12392,0.642,0.215,0.124,23.24,0.31,38.17,2.28,0.03,3.74
24623.72,0.64195,0.21606,0.12405,0.642,0.216,0.124,23.39,0.63,38.46,2.29,0.06,3.77
24623.73,0.64208,0.21732,0.1243,0.642,0.217,0.124,23.39,0.63,38.31,2.29,0.06,3.76
24623.74,0.64208,0.21796,0.12443,0.642,0.218,0.124,23.24,0.78,38.17,2.28,0.08,3.74
24623.75,0.64233,0.21606,0.1243,0.642,0.216,0.124,23.55,0.47,38.17,2.31,0.05,3.74
24623.76,0.64271,0.21669,0.1243,0.643,0.217,0.124,23.24,0.47,38.31,2.28,0.05,3.76
24623.77,0.64271,0.21606,0.1243,0.643,0.216,0.124,23.24,0.47,38.17,2.28,0.05,3.74
24623.78,0.64297,0.21732,0.12443,0.643,0.217,0.124,23.08,0.63,38.46,2.26,0.06,3.77
24623.79,0.64297,0.21669,0.1243,0.643,0.217,0.124,23.08,0.16,38.17,2.26,0.02,3.74
24623.80,0.64335,0.21732,0.12456,0.643,0.217,0.125,23.24,0.47,38.17,2.28,0.05,3.74
24623.81,0.64322,0.21796,0.1243,0.643,0.218,0.124,22.93,0.63,38.17,2.25,0.06,3.74
24623.82,0.64373,0.21606,0.12443,0.644,0.216,0.124,23.08,0.47,38.61,2.26,0.05,3.79
24623.83,0.64385,0.21732,0.12456,0.644,0.217,0.125,23.08,0.63,38.46,2.26,0.06,3.77
24623.84,0.64411,0.21732,0.1243,0.644,0.217,0.124,23.08,0.31,38.31,2.26,0.03,3.76
24623.85,0.64424,0.21732,0.12417,0.644,0.217,0.124,23.08,0.47,38.02,2.26,0.05,3.73
24623.86,0.64449,0.21669,0.12443,0.644,0.217,0.124,22.93,0.31,38.17,2.25,0.03,3.74
24623.87,0.64462,0.21732,0.12443,0.645,0.217,0.124,23.08,0.31,37.87,2.26,0.03,3.71
24623.88,0.64487,0.21796,0.12469,0.645,0.218,0.125,23.39,0.31,38.17,2.29,0.03,3.74
24623.89,0.645,0.21796,0.12482,0.645,0.218,0.125,23.08,0.31,38.17,2.26,0.03,3.74
24623.90,0.645,0.21732,0.12469,0.645,0.217,0.125,23.55,0.16,38.02,2.31,0.02,3.73
24623.91,0.64525,0.21669,0.12456,0.645,0.217,0.125,23.24,0.47,38.17,2.28,0.05,3.74
24623.92,0.64551,0.21796,0.12482,0.646,0.218,0.125,23.24,0.47,38.31,2.28,0.05,3.76
24623.93,0.64551,0.21669,0.12482,0.646,0.217,0.125,23.39,0.16,38.02,2.29,0.02,3.73
24623.94,0.64538,0.21796,0.12456,0.645,0.218,0.125,22.93,0.00,38.31,2.25,0.00,3.76
24623.95,0.64589,0.21732,0.12469,0.646,0.217,0.125,23.24,0.31,38.17,2.28,0.03,3.74
24623.96,0.64589,0.21669,0.12482,0.646,0.217,0.125,23.08,0.00,38.17,2.26,0.00,3.74
24623.97,0.64627,0.21796,0.12495,0.646,0.218,0.125,23.08,0.16,38.46,2.26,0.02,3.77
24623.98,0.64627,0.21669,0.12469,0.646,0.217,0.125,23.08,0.31,38.17,2.26,0.03,3.74
24623.99,0.64639,0.21732,0.12495,0.646,0.217,0.125,23.24,0.31,37.73,2.28,0.03,3.70
24624.00,0.64652,0.21796,0.12495,0.647,0.218,0.125,23.39,0.00,38.17,2.29,0.00,3.74
24624.01,0.64652,0.21859,0.12495,0.647,0.219,0.125,23.08,0.00,38.17,2.26,0.00,3.74
24624.02,0.64678,0.21796,0.12469,0.647,0.218,0.125,23.08,0.16,38.46,2.26,0.02,3.77
24624.03,0.6469,0.21669,0.12495,0.647,0.217,0.125,22.93,0.00,38.46,2.25,0.00,3.77
24624.04,0.6469,0.21796,0.12495,0.647,0.218,0.125,23.39,0.00,38.31,2.29,0.00,3.76
24624.05,0.64728,0.21796,0.12507,0.647,0.218,0.125,23.24,0.16,38.02,2.28,0.02,3.73
24624.06,0.64728,0.21859,0.12482,0.647,0.219,0.125,23.24,0.16,38.31,2.28,0.02,3.76
24624.07,0.64754,0.21732,0.1252,0.648,0.217,0.125,23.55,0.16,38.17,2.31,0.02,3.74
24624.08,0.64754,0.21859,0.12507,0.648,0.219,0.125,23.55,0.00,38.46,2.31,0.00,3.77
24624.09,0.64754,0.21985,0.1252,0.648,0.220,0.125,23.24,0.16,38.61,2.28,0.02,3.79
24624.10,0.64766,0.21796,0.1252,0.648,0.218,0.125,22.93,0.16,38.46,2.25,0.02,3.77
24624.11,0.64779,0.21859,0.1252,0.648,0.219,0.125,23.08,-0.31,38.17,2.26,-0.03,3.74
24624.12,0.64804,0.21859,0.12507,0.648,0.219,0.125,23.55,-0.31,38.46,2.31,-0.03,3.77
24624.13,0.64817,0.21922,0.12546,0.648,0.219,0.125,23.24,-0.16,38.46,2.28,-0.02,3.77
24624.14,0.64817,0.21859,0.1252,0.648,0.219,0.125,23.39,0.00,38.61,2.29,0.00,3.79
24624.15,0.64843,0.21859,0.12495,0.648,0.219,0.125,23.24,-0.16,38.61,2.28,-0.02,3.79
24624.16,0.64855,0.21859,0.12495,0.649,0.219,0.125,23.39,-0.16,38.46,2.29,-0.02,3.77
24624.17,0.64881,0.21922,0.12533,0.649,0.219,0.125,23.39,0.00,38.75,2.29,0.00,3.80
24624.18,0.64906,0.21859,0.12482,0.649,0.219,0.125,23.08,0.00,38.61,2.26,0.00,3.79
24624.19,0.64906,0.21859,0.12533,0.649,0.219,0.125,23.08,-0.16,38.61,2.26,-0.02,3.79
24624.20,0.64893,0.21859,0.12507,0.649,0.219,0.125,23.39,0.16,38.61,2.29,0.02,3.79
24624.21,0.64944,0.21859,0.12507,0.649,0.219,0.125,23.24,0.00,38.46,2.28,0.00,3.77
24624.22,0.64957,0.21922,0.12507,0.650,0.219,0.125,23.24,-0.16,38.46,2.28,-0.02,3.77
24624.23,0.64957,0.21859,0.12546,0.650,0.219,0.125,23.39,0.16,38.75,2.29,0.02,3.80
24624.24,0.64957,0.21796,0.12533,0.650,0.218,0.125,23.24,0.00,38.75,2.28,0.00,3.80
24624.25,0.64982,0.21922,0.12533,0.650,0.219,0.125,23.24,0.16,38.75,2.28,0.02,3.80
24624.26,0.65008,0.21985,0.12507,0.650,0.220,0.125,23.24,0.00,38.61,2.28,0.00,3.79
24624.27,0.65033,0.21985,0.12546,0.650,0.220,0.125,23.24,0.16,38.46,2.28,0.02,3.77
24624.28,0.65033,0.21922,0.12533,0.650,0.219,0.125,22.93,-0.16,38.61,2.25,-0.02,3.79
24624.29,0.65046,0.21922,0.12507,0.650,0.219,0.125,23.24,0.00,39.04,2.28,0.00,3.83
24624.30,0.65097,0.21859,0.12533,0.651,0.219,0.125,23.08,-0.16,38.61,2.26,-0.02,3.79
24624.31,0.65071,0.21985,0.12507,0.651,0.220,0.125,23.24,0.16,38.46,2.28,0.02,3.77
24624.32,0.65135,0.21859,0.12533,0.651,0.219,0.125,23.39,-0.16,38.46,2.29,-0.02,3.77
24624.33,0.65135,0.21985,0.12546,0.651,0.220,0.125,23.39,0.00,38.17,2.29,0.00,3.74
24624.34,0.6516,0.21985,0.12533,0.652,0.220,0.125,23.08,-0.16,38.46,2.26,-0.02,3.77
24624.35,0.65185,0.21985,0.12533,0.652,0.220,0.125,23.24,0.00,38.17,2.28,0.00,3.74
24624.36,0.65198,0.21985,0.12559,0.652,0.220,0.126,23.24,0.00,38.17,2.28,0.00,3.74
24624.37,0.65236,0.21859,0.12546,0.652,0.219,0.125,23.08,-0.47,38.17,2.26,-0.05,3.74
24624.38,0.65262,0.21985,0.12546,0.653,0.220,0.125,23.24,-0.16,38.17,2.28,-0.02,3.74
24624.39,0.65262,0.21922,0.12533,0.653,0.219,0.125,23.55,-0.16,38.02,2.31,-0.02,3.73
24624.40,0.653,0.21985,0.12559,0.653,0.220,0.126,23.24,0.00,38.02,2.28,0.00,3.73
24624.41,0.65338,0.21922,0.12572,0.653,0.219,0.126,23.24,0.00,38.02,2.28,0.00,3.73
24624.42,0.65338,0.21796,0.12546,0.653,0.218,0.125,23.08,-0.16,38.02,2.26,-0.02,3.73
24624.43,0.65325,0.21985,0.12546,0.653,0.220,0.125,23.08,0.00,38.17,2.26,0.00,3.74
24624.44,0.65389,0.21922,0.12572,0.654,0.219,0.126,23.39,0.00,37.87,2.29,0.00,3.71
