"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",1-Hz downsampled data,Complete period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original extensometer wire oblique distance; corr = corrected distance to reflect slope-parallel displacement; m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
47.00 ,0.0579,0.04251,0.06597,0.000,-0.001,0.000,-3.11,-79.53,-28.01,-0.31,-7.80,-2.75
48.00 ,0.0579,0.04251,0.06597,0.000,-0.001,0.000,-2.96,-79.53,-28.01,-0.29,-7.80,-2.75
49.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-3.11,-79.53,-28.01,-0.31,-7.80,-2.75
50.00 ,0.05802,0.04314,0.06609,0.000,0.000,0.000,-3.27,-79.22,-28.16,-0.32,-7.77,-2.76
51.00 ,0.05777,0.04314,0.06597,0.000,0.000,0.000,-3.27,-79.53,-28.01,-0.32,-7.80,-2.75
52.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-3.27,-79.22,-27.87,-0.32,-7.77,-2.73
53.00 ,0.05815,0.04314,0.06597,0.000,0.000,0.000,-2.96,-79.38,-28.01,-0.29,-7.78,-2.75
54.00 ,0.05815,0.04314,0.06571,0.000,0.000,0.000,-3.11,-79.06,-28.01,-0.31,-7.75,-2.75
55.00 ,0.05815,0.0444,0.06571,0.000,0.001,0.000,-3.11,-79.38,-28.16,-0.31,-7.78,-2.76
56.00 ,0.05802,0.04314,0.06571,0.000,0.000,0.000,-2.96,-79.06,-28.30,-0.29,-7.75,-2.77
57.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-2.96,-79.38,-28.16,-0.29,-7.78,-2.76
58.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-2.96,-79.06,-28.01,-0.29,-7.75,-2.75
59.00 ,0.0579,0.04251,0.06609,0.000,-0.001,0.000,-3.11,-79.06,-28.45,-0.31,-7.75,-2.79
60.00 ,0.05815,0.04314,0.06584,0.000,0.000,0.000,-3.11,-79.53,-28.30,-0.31,-7.80,-2.77
61.00 ,0.0579,0.04377,0.06597,0.000,0.001,0.000,-3.27,-79.53,-28.30,-0.32,-7.80,-2.77
62.00 ,0.05777,0.0444,0.06571,0.000,0.001,0.000,-2.96,-79.22,-28.30,-0.29,-7.77,-2.77
63.00 ,0.05777,0.04377,0.06597,0.000,0.001,0.000,-3.11,-79.69,-28.30,-0.31,-7.81,-2.77
64.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-3.11,-79.53,-28.30,-0.31,-7.80,-2.77
65.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-2.96,-79.38,-28.30,-0.29,-7.78,-2.77
66.00 ,0.05777,0.04377,0.06597,0.000,0.001,0.000,-3.11,-79.53,-28.16,-0.31,-7.80,-2.76
67.00 ,0.05802,0.04314,0.06609,0.000,0.000,0.000,-3.11,-79.53,-28.16,-0.31,-7.80,-2.76
68.00 ,0.05802,0.04314,0.06571,0.000,0.000,0.000,-3.11,-79.38,-28.45,-0.31,-7.78,-2.79
69.00 ,0.05815,0.04251,0.06584,0.000,-0.001,0.000,-3.11,-79.38,-28.60,-0.31,-7.78,-2.80
70.00 ,0.05802,0.0444,0.06584,0.000,0.001,0.000,-3.11,-79.69,-28.16,-0.31,-7.81,-2.76
71.00 ,0.0579,0.0444,0.06571,0.000,0.001,0.000,-3.11,-79.53,-28.45,-0.31,-7.80,-2.79
72.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-3.11,-79.53,-28.16,-0.31,-7.80,-2.76
73.00 ,0.05777,0.04377,0.06571,0.000,0.001,0.000,-3.27,-79.53,-28.60,-0.32,-7.80,-2.80
74.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-3.27,-79.38,-28.60,-0.32,-7.78,-2.80
75.00 ,0.05802,0.0444,0.06584,0.000,0.001,0.000,-3.11,-79.38,-28.60,-0.31,-7.78,-2.80
76.00 ,0.05802,0.04314,0.06571,0.000,0.000,0.000,-3.27,-79.53,-28.74,-0.32,-7.80,-2.82
77.00 ,0.05802,0.04251,0.06584,0.000,-0.001,0.000,-3.11,-79.53,-28.74,-0.31,-7.80,-2.82
78.00 ,0.05815,0.0444,0.06597,0.000,0.001,0.000,-3.11,-79.53,-28.89,-0.31,-7.80,-2.83
79.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-3.11,-79.69,-28.60,-0.31,-7.81,-2.80
80.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-3.27,-79.53,-28.60,-0.32,-7.80,-2.80
81.00 ,0.0579,0.04314,0.06571,0.000,0.000,0.000,-3.27,-80.00,-28.74,-0.32,-7.84,-2.82
82.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-2.96,-79.84,-28.89,-0.29,-7.83,-2.83
83.00 ,0.05802,0.04377,0.06571,0.000,0.001,0.000,-3.11,-79.69,-28.89,-0.31,-7.81,-2.83
84.00 ,0.0579,0.04377,0.06597,0.000,0.001,0.000,-3.11,-79.84,-28.74,-0.31,-7.83,-2.82
85.00 ,0.05802,0.04251,0.06584,0.000,-0.001,0.000,-2.80,-79.84,-29.03,-0.27,-7.83,-2.85
86.00 ,0.05777,0.0444,0.06584,0.000,0.001,0.000,-2.96,-79.69,-28.74,-0.29,-7.81,-2.82
87.00 ,0.05802,0.04377,0.06571,0.000,0.001,0.000,-2.96,-79.69,-28.89,-0.29,-7.81,-2.83
88.00 ,0.05815,0.04377,0.06584,0.000,0.001,0.000,-3.27,-79.69,-28.89,-0.32,-7.81,-2.83
89.00 ,0.05815,0.04314,0.06597,0.000,0.000,0.000,-2.96,-79.84,-28.89,-0.29,-7.83,-2.83
90.00 ,0.0579,0.0444,0.06584,0.000,0.001,0.000,-3.11,-80.00,-29.03,-0.31,-7.84,-2.85
91.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-3.11,-79.84,-29.33,-0.31,-7.83,-2.88
92.00 ,0.0579,0.04314,0.06571,0.000,0.000,0.000,-3.42,-80.16,-28.89,-0.34,-7.86,-2.83
93.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-3.11,-79.84,-29.18,-0.31,-7.83,-2.86
94.00 ,0.05764,0.0444,0.06584,0.000,0.001,0.000,-3.11,-79.69,-29.03,-0.31,-7.81,-2.85
95.00 ,0.05815,0.04251,0.06584,0.000,-0.001,0.000,-3.27,-79.84,-29.03,-0.32,-7.83,-2.85
96.00 ,0.05777,0.04251,0.06597,0.000,-0.001,0.000,-3.42,-80.00,-29.33,-0.34,-7.84,-2.88
97.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-3.27,-79.84,-29.03,-0.32,-7.83,-2.85
98.00 ,0.0579,0.04377,0.06597,0.000,0.001,0.000,-3.11,-79.84,-29.33,-0.31,-7.83,-2.88
99.00 ,0.0579,0.04377,0.06597,0.000,0.001,0.000,-3.11,-79.84,-29.47,-0.31,-7.83,-2.89
100.00 ,0.05802,0.04503,0.06571,0.000,0.002,0.000,-2.96,-80.00,-29.03,-0.29,-7.84,-2.85
101.00 ,0.05777,0.04377,0.06584,0.000,0.001,0.000,-3.42,-80.00,-29.62,-0.34,-7.84,-2.90
102.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-3.11,-80.47,-29.47,-0.31,-7.89,-2.89
103.00 ,0.05802,0.04314,0.06584,0.000,0.000,0.000,-3.11,-80.00,-29.33,-0.31,-7.84,-2.88
104.00 ,0.05777,0.0444,0.06584,0.000,0.001,0.000,-3.27,-80.16,-29.47,-0.32,-7.86,-2.89
105.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-3.27,-80.31,-29.62,-0.32,-7.87,-2.90
106.00 ,0.05815,0.04251,0.06584,0.000,-0.001,0.000,-3.11,-79.84,-29.76,-0.31,-7.83,-2.92
107.00 ,0.0579,0.04314,0.06584,0.000,0.000,0.000,-3.11,-80.00,-29.62,-0.31,-7.84,-2.90
108.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-3.11,-80.00,-29.76,-0.31,-7.84,-2.92
109.00 ,0.05802,0.04377,0.06584,0.000,0.001,0.000,-3.27,-79.84,-29.62,-0.32,-7.83,-2.90
110.00 ,0.05815,0.04314,0.06584,0.000,0.000,0.000,-2.96,-79.69,-29.91,-0.29,-7.81,-2.93
111.00 ,0.05815,0.04314,0.06584,0.000,0.000,0.000,-3.27,-79.69,-29.91,-0.32,-7.81,-2.93
112.00 ,0.05815,0.04377,0.06571,0.000,0.001,0.000,-3.11,-79.84,-29.91,-0.31,-7.83,-2.93
113.00 ,0.05815,0.04251,0.06597,0.000,-0.001,0.000,-3.27,-79.69,-29.76,-0.32,-7.81,-2.92
114.00 ,0.0579,0.04377,0.06584,0.000,0.001,0.000,-3.42,-80.00,-30.06,-0.34,-7.84,-2.95
115.00 ,0.05802,0.0444,0.06571,0.000,0.001,0.000,-3.58,-79.84,-29.91,-0.35,-7.83,-2.93
116.00 ,0.05828,0.04251,0.06584,0.000,-0.001,0.000,-3.27,-79.69,-29.91,-0.32,-7.81,-2.93
117.00 ,0.05828,0.04377,0.06597,0.000,0.001,0.000,-3.27,-80.16,-29.91,-0.32,-7.86,-2.93
118.00 ,0.05802,0.04377,0.06571,0.000,0.001,0.000,-3.27,-80.00,-29.62,-0.32,-7.84,-2.90
119.00 ,0.05828,0.0444,0.06584,0.000,0.001,0.000,-3.27,-80.16,-29.76,-0.32,-7.86,-2.92
120.00 ,0.05828,0.04251,0.06597,0.000,-0.001,0.000,-3.27,-80.16,-29.62,-0.32,-7.86,-2.90
121.00 ,0.05841,0.0444,0.06584,0.001,0.001,0.000,-3.11,-80.00,-29.91,-0.31,-7.84,-2.93
122.00 ,0.05815,0.04314,0.06597,0.000,0.000,0.000,-3.27,-80.16,-29.91,-0.32,-7.86,-2.93
123.00 ,0.05815,0.04377,0.06545,0.000,0.001,0.000,-3.58,-80.16,-29.76,-0.35,-7.86,-2.92
124.00 ,0.05841,0.0444,0.06584,0.001,0.001,0.000,-3.11,-80.31,-29.76,-0.31,-7.87,-2.92
125.00 ,0.05815,0.04377,0.06571,0.000,0.001,0.000,-3.11,-80.31,-29.76,-0.31,-7.87,-2.92
126.00 ,0.05802,0.04377,0.06558,0.000,0.001,0.000,-3.27,-80.16,-29.91,-0.32,-7.86,-2.93
127.00 ,0.05815,0.04314,0.06597,0.000,0.000,0.000,-3.27,-80.16,-30.06,-0.32,-7.86,-2.95
128.00 ,0.05828,0.0444,0.06597,0.000,0.001,0.000,-3.42,-80.47,-30.06,-0.34,-7.89,-2.95
129.00 ,0.05828,0.04314,0.06571,0.000,0.000,0.000,-3.27,-80.63,-29.91,-0.32,-7.90,-2.93
130.00 ,0.05802,0.04314,0.06597,0.000,0.000,0.000,-3.42,-80.94,-30.20,-0.34,-7.94,-2.96
131.00 ,0.05802,0.04377,0.06571,0.000,0.001,0.000,-3.27,-80.63,-30.20,-0.32,-7.90,-2.96
132.00 ,0.05828,0.04377,0.06584,0.000,0.001,0.000,-3.11,-80.47,-30.49,-0.31,-7.89,-2.99
133.00 ,0.05841,0.04314,0.06571,0.001,0.000,0.000,-3.58,-80.47,-30.35,-0.35,-7.89,-2.98
134.00 ,0.05828,0.04251,0.06597,0.000,-0.001,0.000,-3.27,-80.47,-30.35,-0.32,-7.89,-2.98
135.00 ,0.05841,0.04377,0.06584,0.001,0.001,0.000,-3.42,-80.63,-30.49,-0.34,-7.90,-2.99
136.00 ,0.05815,0.04314,0.06571,0.000,0.000,0.000,-3.42,-80.47,-30.49,-0.34,-7.89,-2.99
137.00 ,0.05815,0.04377,0.06571,0.000,0.001,0.000,-3.42,-80.63,-30.64,-0.34,-7.90,-3.00
138.00 ,0.05815,0.0444,0.06597,0.000,0.001,0.000,-3.27,-80.31,-30.35,-0.32,-7.87,-2.98
