"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",1-Hz downsampled data,Complete period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original extensometer wire oblique distance; corr = corrected distance to reflect slope-parallel displacement; m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
4161.00 ,0.05955,0.04756,0.06622,0.002,0.005,0.001,13.16,-5.31,-41.45,1.29,-0.52,-4.06
4162.00 ,0.05917,0.04629,0.06622,0.001,0.003,0.001,12.85,-5.31,-41.60,1.26,-0.52,-4.08
4163.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.01,-5.47,-41.60,1.28,-0.54,-4.08
4164.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.16,-5.16,-41.60,1.29,-0.51,-4.08
4165.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,12.85,-5.47,-41.60,1.26,-0.54,-4.08
4166.00 ,0.05929,0.04693,0.06648,0.001,0.004,0.001,13.01,-5.16,-41.60,1.28,-0.51,-4.08
4167.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.01,-5.47,-41.60,1.28,-0.54,-4.08
4168.00 ,0.05955,0.04756,0.06622,0.002,0.005,0.001,12.85,-5.31,-41.60,1.26,-0.52,-4.08
4169.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.01,-5.16,-41.60,1.28,-0.51,-4.08
4170.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.01,-5.16,-41.60,1.28,-0.51,-4.08
4171.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.16,-5.47,-41.31,1.29,-0.54,-4.05
4172.00 ,0.05917,0.04756,0.06609,0.001,0.005,0.000,12.85,-5.16,-41.74,1.26,-0.51,-4.09
4173.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,12.85,-5.16,-41.60,1.26,-0.51,-4.08
4174.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.01,-5.16,-41.60,1.28,-0.51,-4.08
4175.00 ,0.05929,0.04756,0.06609,0.001,0.005,0.000,13.01,-5.16,-41.74,1.28,-0.51,-4.09
4176.00 ,0.05955,0.04693,0.06622,0.002,0.004,0.001,13.32,-5.16,-41.45,1.31,-0.51,-4.06
4177.00 ,0.05929,0.04882,0.06622,0.001,0.006,0.001,13.01,-4.84,-41.60,1.28,-0.47,-4.08
4178.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.32,-5.00,-41.60,1.31,-0.49,-4.08
4179.00 ,0.05942,0.04882,0.06635,0.002,0.006,0.001,13.01,-5.31,-41.74,1.28,-0.52,-4.09
4180.00 ,0.05929,0.04693,0.06597,0.001,0.004,0.000,13.01,-4.84,-41.74,1.28,-0.47,-4.09
4181.00 ,0.05942,0.04945,0.06597,0.002,0.006,0.000,12.85,-5.31,-41.16,1.26,-0.52,-4.04
4182.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.16,-5.16,-41.45,1.29,-0.51,-4.06
4183.00 ,0.05942,0.04819,0.06648,0.002,0.005,0.001,13.01,-5.16,-41.31,1.28,-0.51,-4.05
4184.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,12.85,-5.16,-41.31,1.26,-0.51,-4.05
4185.00 ,0.05917,0.04756,0.06635,0.001,0.005,0.001,13.01,-5.16,-41.31,1.28,-0.51,-4.05
4186.00 ,0.05929,0.04693,0.06635,0.001,0.004,0.001,12.85,-5.16,-41.31,1.26,-0.51,-4.05
4187.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,12.85,-4.84,-41.31,1.26,-0.47,-4.05
4188.00 ,0.05917,0.04882,0.06609,0.001,0.006,0.000,13.01,-4.84,-41.16,1.28,-0.47,-4.04
4189.00 ,0.05917,0.04819,0.06597,0.001,0.005,0.000,13.16,-5.00,-41.45,1.29,-0.49,-4.06
4190.00 ,0.05955,0.04756,0.06609,0.002,0.005,0.000,12.85,-5.00,-41.01,1.26,-0.49,-4.02
4191.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.01,-5.16,-41.16,1.28,-0.51,-4.04
4192.00 ,0.05955,0.04756,0.06609,0.002,0.005,0.000,13.47,-4.69,-41.45,1.32,-0.46,-4.06
4193.00 ,0.05929,0.04756,0.06609,0.001,0.005,0.000,13.01,-4.69,-41.74,1.28,-0.46,-4.09
4194.00 ,0.05929,0.04882,0.06622,0.001,0.006,0.001,13.16,-5.16,-41.45,1.29,-0.51,-4.06
4195.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.16,-4.84,-41.60,1.29,-0.47,-4.08
4196.00 ,0.05942,0.04693,0.06609,0.002,0.004,0.000,13.16,-5.00,-41.60,1.29,-0.49,-4.08
4197.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.16,-5.00,-41.60,1.29,-0.49,-4.08
4198.00 ,0.05942,0.04819,0.06597,0.002,0.005,0.000,13.32,-5.00,-41.60,1.31,-0.49,-4.08
4199.00 ,0.05917,0.04693,0.06648,0.001,0.004,0.001,13.01,-5.16,-41.74,1.28,-0.51,-4.09
4200.00 ,0.05929,0.04693,0.06622,0.001,0.004,0.001,13.01,-4.84,-41.60,1.28,-0.47,-4.08
4201.00 ,0.05929,0.04819,0.06635,0.001,0.005,0.001,13.32,-4.84,-41.45,1.31,-0.47,-4.06
4202.00 ,0.05917,0.04756,0.06635,0.001,0.005,0.001,13.01,-4.53,-41.45,1.28,-0.44,-4.06
4203.00 ,0.05917,0.04819,0.06635,0.001,0.005,0.001,13.01,-4.84,-41.45,1.28,-0.47,-4.06
4204.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.01,-4.84,-41.31,1.28,-0.47,-4.05
4205.00 ,0.05917,0.04756,0.06584,0.001,0.005,0.000,13.01,-5.16,-41.45,1.28,-0.51,-4.06
4206.00 ,0.05929,0.04693,0.06635,0.001,0.004,0.001,13.01,-4.84,-41.31,1.28,-0.47,-4.05
4207.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.32,-4.69,-41.45,1.31,-0.46,-4.06
4208.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,12.54,-4.69,-41.89,1.23,-0.46,-4.11
4209.00 ,0.05955,0.04629,0.06635,0.002,0.003,0.001,13.16,-5.00,-41.74,1.29,-0.49,-4.09
4210.00 ,0.05904,0.04693,0.06648,0.001,0.004,0.001,13.16,-5.00,-41.89,1.29,-0.49,-4.11
4211.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.01,-4.84,-41.60,1.28,-0.47,-4.08
4212.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.01,-4.84,-41.89,1.28,-0.47,-4.11
4213.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.01,-4.69,-42.33,1.28,-0.46,-4.15
4214.00 ,0.05942,0.04882,0.06635,0.002,0.006,0.001,13.16,-5.00,-42.04,1.29,-0.49,-4.12
4215.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,12.85,-4.84,-41.89,1.26,-0.47,-4.11
4216.00 ,0.05917,0.04819,0.06635,0.001,0.005,0.001,12.85,-5.31,-42.04,1.26,-0.52,-4.12
4217.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.01,-4.84,-41.89,1.28,-0.47,-4.11
4218.00 ,0.05955,0.04693,0.06622,0.002,0.004,0.001,13.16,-4.69,-42.18,1.29,-0.46,-4.14
4219.00 ,0.05929,0.04756,0.06609,0.001,0.005,0.000,12.85,-4.84,-42.33,1.26,-0.47,-4.15
4220.00 ,0.05917,0.04756,0.06622,0.001,0.005,0.001,13.01,-5.00,-42.04,1.28,-0.49,-4.12
4221.00 ,0.05917,0.04756,0.06622,0.001,0.005,0.001,13.01,-5.16,-42.47,1.28,-0.51,-4.16
4222.00 ,0.05942,0.04819,0.06648,0.002,0.005,0.001,13.01,-4.84,-42.04,1.28,-0.47,-4.12
4223.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,12.85,-5.00,-42.18,1.26,-0.49,-4.14
4224.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.16,-4.84,-41.89,1.29,-0.47,-4.11
4225.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.01,-4.69,-42.18,1.28,-0.46,-4.14
4226.00 ,0.05929,0.04629,0.06648,0.001,0.003,0.001,13.01,-5.00,-42.04,1.28,-0.49,-4.12
4227.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.01,-4.53,-42.33,1.28,-0.44,-4.15
4228.00 ,0.05942,0.04693,0.06635,0.002,0.004,0.001,13.16,-4.84,-41.89,1.29,-0.47,-4.11
4229.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.01,-4.84,-42.33,1.28,-0.47,-4.15
4230.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,12.85,-4.84,-42.04,1.26,-0.47,-4.12
4231.00 ,0.05929,0.04693,0.06622,0.001,0.004,0.001,12.70,-4.69,-41.89,1.24,-0.46,-4.11
4232.00 ,0.05942,0.04629,0.06622,0.002,0.003,0.001,12.85,-5.16,-42.18,1.26,-0.51,-4.14
4233.00 ,0.05917,0.04819,0.06609,0.001,0.005,0.000,13.01,-5.00,-42.04,1.28,-0.49,-4.12
4234.00 ,0.05929,0.04629,0.06635,0.001,0.003,0.001,12.85,-4.84,-42.04,1.26,-0.47,-4.12
4235.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.16,-5.00,-41.74,1.29,-0.49,-4.09
4236.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.01,-4.84,-42.04,1.28,-0.47,-4.12
4237.00 ,0.05955,0.04693,0.06622,0.002,0.004,0.001,13.01,-4.69,-42.33,1.28,-0.46,-4.15
4238.00 ,0.05942,0.04693,0.06635,0.002,0.004,0.001,12.85,-4.69,-42.33,1.26,-0.46,-4.15
4239.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,13.01,-4.69,-42.33,1.28,-0.46,-4.15
4240.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.32,-4.69,-41.89,1.31,-0.46,-4.11
4241.00 ,0.05929,0.04756,0.06609,0.001,0.005,0.000,13.01,-5.00,-42.04,1.28,-0.49,-4.12
4242.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,12.85,-4.69,-41.89,1.26,-0.46,-4.11
4243.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,12.85,-5.00,-41.60,1.26,-0.49,-4.08
4244.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.01,-4.69,-41.60,1.28,-0.46,-4.08
4245.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,12.85,-4.69,-41.60,1.26,-0.46,-4.08
4246.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,12.70,-4.69,-41.74,1.24,-0.46,-4.09
4247.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,12.70,-4.69,-41.60,1.24,-0.46,-4.08
4248.00 ,0.05929,0.04819,0.06597,0.001,0.005,0.000,13.16,-4.69,-42.18,1.29,-0.46,-4.14
4249.00 ,0.05955,0.04819,0.06622,0.002,0.005,0.001,13.01,-4.84,-41.89,1.28,-0.47,-4.11
4250.00 ,0.05929,0.04756,0.06584,0.001,0.005,0.000,13.01,-4.53,-41.89,1.28,-0.44,-4.11
4251.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.01,-4.69,-41.74,1.28,-0.46,-4.09
4252.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.32,-4.84,-41.74,1.31,-0.47,-4.09
4253.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.01,-4.53,-41.89,1.28,-0.44,-4.11
4254.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.01,-4.53,-41.89,1.28,-0.44,-4.11
4255.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.01,-4.53,-41.89,1.28,-0.44,-4.11
4256.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.16,-5.00,-41.89,1.29,-0.49,-4.11
4257.00 ,0.05955,0.04756,0.06622,0.002,0.005,0.001,13.16,-4.53,-41.89,1.29,-0.44,-4.11
4258.00 ,0.05929,0.04756,0.06609,0.001,0.005,0.000,13.16,-4.53,-41.74,1.29,-0.44,-4.09
4259.00 ,0.05942,0.04693,0.06609,0.002,0.004,0.000,13.16,-4.53,-41.60,1.29,-0.44,-4.08
4260.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.01,-4.53,-41.89,1.28,-0.44,-4.11
4261.00 ,0.05917,0.04819,0.06635,0.001,0.005,0.001,13.32,-4.69,-41.89,1.31,-0.46,-4.11
4262.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.01,-4.22,-41.60,1.28,-0.41,-4.08
4263.00 ,0.05917,0.04819,0.06609,0.001,0.005,0.000,13.47,-4.53,-41.74,1.32,-0.44,-4.09
4264.00 ,0.05942,0.04756,0.06648,0.002,0.005,0.001,13.01,-4.53,-41.74,1.28,-0.44,-4.09
4265.00 ,0.05929,0.04882,0.06622,0.001,0.006,0.001,13.16,-4.53,-41.89,1.29,-0.44,-4.11
4266.00 ,0.05942,0.04756,0.06597,0.002,0.005,0.000,13.16,-4.38,-41.89,1.29,-0.43,-4.11
4267.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.32,-4.69,-41.74,1.31,-0.46,-4.09
4268.00 ,0.05917,0.04819,0.06648,0.001,0.005,0.001,13.16,-4.53,-41.74,1.29,-0.44,-4.09
4269.00 ,0.05955,0.04819,0.06648,0.002,0.005,0.001,13.01,-4.69,-41.45,1.28,-0.46,-4.06
4270.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,13.16,-4.69,-41.89,1.29,-0.46,-4.11
4271.00 ,0.05968,0.04756,0.06622,0.002,0.005,0.001,13.32,-4.69,-41.89,1.31,-0.46,-4.11
4272.00 ,0.05904,0.04756,0.06622,0.001,0.005,0.001,13.16,-4.53,-41.74,1.29,-0.44,-4.09
4273.00 ,0.05955,0.04756,0.06635,0.002,0.005,0.001,13.32,-4.53,-41.89,1.31,-0.44,-4.11
4274.00 ,0.05917,0.04819,0.06635,0.001,0.005,0.001,13.32,-4.53,-41.89,1.31,-0.44,-4.11
4275.00 ,0.05942,0.04693,0.06597,0.002,0.004,0.000,13.01,-4.53,-41.74,1.28,-0.44,-4.09
4276.00 ,0.05904,0.04756,0.06622,0.001,0.005,0.001,13.47,-4.38,-41.89,1.32,-0.43,-4.11
4277.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.16,-4.69,-41.74,1.29,-0.46,-4.09
4278.00 ,0.05942,0.04756,0.06635,0.002,0.005,0.001,13.32,-4.69,-41.89,1.31,-0.46,-4.11
4279.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.63,-4.38,-42.04,1.34,-0.43,-4.12
4280.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.01,-4.22,-41.74,1.28,-0.41,-4.09
4281.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.16,-4.53,-41.89,1.29,-0.44,-4.11
4282.00 ,0.05942,0.04882,0.06622,0.002,0.006,0.001,13.63,-4.22,-41.89,1.34,-0.41,-4.11
4283.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.78,-4.53,-42.04,1.35,-0.44,-4.12
4284.00 ,0.05955,0.04693,0.06622,0.002,0.004,0.001,13.16,-4.53,-41.74,1.29,-0.44,-4.09
4285.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.47,-4.22,-41.74,1.32,-0.41,-4.09
4286.00 ,0.05942,0.04756,0.06635,0.002,0.005,0.001,13.32,-4.22,-42.18,1.31,-0.41,-4.14
4287.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.47,-4.38,-42.04,1.32,-0.43,-4.12
4288.00 ,0.05929,0.04629,0.06609,0.001,0.003,0.000,13.32,-4.53,-41.89,1.31,-0.44,-4.11
4289.00 ,0.05942,0.04693,0.06609,0.002,0.004,0.000,13.01,-3.91,-41.74,1.28,-0.38,-4.09
4290.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.32,-4.38,-41.74,1.31,-0.43,-4.09
4291.00 ,0.05955,0.04756,0.06622,0.002,0.005,0.001,13.16,-4.38,-41.60,1.29,-0.43,-4.08
4292.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.63,-4.22,-41.60,1.34,-0.41,-4.08
4293.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.32,-4.69,-41.74,1.31,-0.46,-4.09
4294.00 ,0.05942,0.04756,0.06635,0.002,0.005,0.001,13.16,-4.53,-41.89,1.29,-0.44,-4.11
4295.00 ,0.05929,0.04629,0.06609,0.001,0.003,0.000,13.63,-4.06,-41.89,1.34,-0.40,-4.11
4296.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.16,-4.38,-41.89,1.29,-0.43,-4.11
4297.00 ,0.05942,0.04629,0.06609,0.002,0.003,0.000,13.16,-3.91,-41.89,1.29,-0.38,-4.11
4298.00 ,0.05955,0.04629,0.06609,0.002,0.003,0.000,13.32,-4.22,-41.89,1.31,-0.41,-4.11
4299.00 ,0.05942,0.04756,0.06635,0.002,0.005,0.001,13.16,-4.22,-42.04,1.29,-0.41,-4.12
4300.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.01,-4.22,-41.89,1.28,-0.41,-4.11
4301.00 ,0.05955,0.04819,0.06635,0.002,0.005,0.001,13.47,-4.22,-41.89,1.32,-0.41,-4.11
4302.00 ,0.05955,0.04882,0.06635,0.002,0.006,0.001,13.63,-3.91,-41.74,1.34,-0.38,-4.09
4303.00 ,0.05929,0.04819,0.06635,0.001,0.005,0.001,13.47,-3.91,-41.45,1.32,-0.38,-4.06
4304.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.94,-4.38,-41.60,1.37,-0.43,-4.08
4305.00 ,0.05942,0.04629,0.06622,0.002,0.003,0.001,13.47,-4.06,-41.74,1.32,-0.40,-4.09
4306.00 ,0.05968,0.04819,0.06609,0.002,0.005,0.000,13.63,-4.06,-41.45,1.34,-0.40,-4.06
4307.00 ,0.05955,0.04693,0.06622,0.002,0.004,0.001,13.78,-3.91,-41.60,1.35,-0.38,-4.08
4308.00 ,0.05955,0.04819,0.06635,0.002,0.005,0.001,13.63,-3.91,-41.31,1.34,-0.38,-4.05
4309.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.63,-3.91,-41.01,1.34,-0.38,-4.02
4310.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.63,-4.06,-41.01,1.34,-0.40,-4.02
4311.00 ,0.05955,0.04693,0.06609,0.002,0.004,0.000,13.63,-3.75,-40.87,1.34,-0.37,-4.01
4312.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.63,-4.38,-40.87,1.34,-0.43,-4.01
4313.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.32,-4.06,-41.01,1.31,-0.40,-4.02
4314.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.32,-3.91,-40.87,1.31,-0.38,-4.01
4315.00 ,0.05904,0.04756,0.06609,0.001,0.005,0.000,13.16,-3.75,-40.87,1.29,-0.37,-4.01
4316.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.94,-3.91,-40.87,1.37,-0.38,-4.01
4317.00 ,0.05929,0.04693,0.06622,0.001,0.004,0.001,13.63,-3.91,-40.87,1.34,-0.38,-4.01
4318.00 ,0.05942,0.04756,0.06635,0.002,0.005,0.001,13.47,-4.06,-40.87,1.32,-0.40,-4.01
4319.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.78,-3.75,-40.57,1.35,-0.37,-3.98
4320.00 ,0.05929,0.04629,0.06622,0.001,0.003,0.001,13.63,-3.75,-40.72,1.34,-0.37,-3.99
4321.00 ,0.05955,0.04756,0.06635,0.002,0.005,0.001,13.63,-3.75,-40.57,1.34,-0.37,-3.98
4322.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.32,-4.06,-40.57,1.31,-0.40,-3.98
4323.00 ,0.05917,0.04693,0.06597,0.001,0.004,0.000,13.32,-3.59,-40.43,1.31,-0.35,-3.96
4324.00 ,0.05955,0.04629,0.06622,0.002,0.003,0.001,13.78,-3.75,-40.43,1.35,-0.37,-3.96
4325.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.63,-3.75,-40.43,1.34,-0.37,-3.96
4326.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,13.63,-3.59,-40.43,1.34,-0.35,-3.96
4327.00 ,0.05929,0.04693,0.06635,0.001,0.004,0.001,13.78,-4.06,-40.28,1.35,-0.40,-3.95
4328.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.63,-3.75,-40.28,1.34,-0.37,-3.95
4329.00 ,0.05917,0.04629,0.06622,0.001,0.003,0.001,13.63,-3.91,-40.14,1.34,-0.38,-3.94
4330.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.63,-3.91,-40.28,1.34,-0.38,-3.95
4331.00 ,0.05929,0.04693,0.06622,0.001,0.004,0.001,13.63,-3.75,-40.28,1.34,-0.37,-3.95
4332.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.47,-3.91,-40.14,1.32,-0.38,-3.94
4333.00 ,0.05917,0.04756,0.06635,0.001,0.005,0.001,13.63,-3.91,-40.28,1.34,-0.38,-3.95
4334.00 ,0.05904,0.04756,0.06622,0.001,0.005,0.001,13.63,-3.59,-40.43,1.34,-0.35,-3.96
4335.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.16,-3.75,-40.43,1.29,-0.37,-3.96
4336.00 ,0.05929,0.04819,0.06635,0.001,0.005,0.001,13.32,-3.91,-40.28,1.31,-0.38,-3.95
4337.00 ,0.05929,0.04629,0.06635,0.001,0.003,0.001,13.63,-3.91,-40.43,1.34,-0.38,-3.96
4338.00 ,0.05917,0.04756,0.06648,0.001,0.005,0.001,13.63,-3.75,-40.14,1.34,-0.37,-3.94
4339.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.63,-3.91,-40.28,1.34,-0.38,-3.95
4340.00 ,0.05917,0.04756,0.06622,0.001,0.005,0.001,13.78,-3.75,-40.28,1.35,-0.37,-3.95
4341.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.78,-4.06,-39.99,1.35,-0.40,-3.92
4342.00 ,0.05955,0.04882,0.06635,0.002,0.006,0.001,13.78,-3.75,-40.14,1.35,-0.37,-3.94
4343.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.94,-3.75,-40.14,1.37,-0.37,-3.94
4344.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.63,-3.91,-40.43,1.34,-0.38,-3.96
4345.00 ,0.05942,0.04693,0.06597,0.002,0.004,0.000,13.78,-3.91,-39.99,1.35,-0.38,-3.92
4346.00 ,0.05942,0.04819,0.06635,0.002,0.005,0.001,13.32,-4.06,-39.99,1.31,-0.40,-3.92
4347.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,13.78,-3.59,-39.99,1.35,-0.35,-3.92
4348.00 ,0.05942,0.04693,0.06635,0.002,0.004,0.001,13.32,-3.75,-39.84,1.31,-0.37,-3.91
4349.00 ,0.05929,0.04756,0.06635,0.001,0.005,0.001,13.32,-3.91,-39.84,1.31,-0.38,-3.91
4350.00 ,0.05917,0.04756,0.06622,0.001,0.005,0.001,13.32,-3.59,-40.28,1.31,-0.35,-3.95
4351.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.63,-3.75,-40.14,1.34,-0.37,-3.94
4352.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.78,-4.06,-39.99,1.35,-0.40,-3.92
4353.00 ,0.05929,0.04693,0.06635,0.001,0.004,0.001,13.78,-3.59,-39.99,1.35,-0.35,-3.92
4354.00 ,0.05917,0.04693,0.06622,0.001,0.004,0.001,13.47,-3.75,-39.84,1.32,-0.37,-3.91
4355.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.47,-3.75,-39.99,1.32,-0.37,-3.92
4356.00 ,0.05929,0.04756,0.06622,0.001,0.005,0.001,13.47,-3.44,-40.14,1.32,-0.34,-3.94
4357.00 ,0.05929,0.04819,0.06622,0.001,0.005,0.001,13.32,-3.59,-40.28,1.31,-0.35,-3.95
4358.00 ,0.05955,0.04882,0.06609,0.002,0.006,0.000,13.32,-3.59,-40.14,1.31,-0.35,-3.94
4359.00 ,0.05942,0.04756,0.06622,0.002,0.005,0.001,13.63,-3.59,-40.43,1.34,-0.35,-3.96
4360.00 ,0.05917,0.04756,0.06622,0.001,0.005,0.001,13.16,-3.75,-39.99,1.29,-0.37,-3.92
4361.00 ,0.05942,0.04819,0.06622,0.002,0.005,0.001,13.63,-3.75,-40.28,1.34,-0.37,-3.95
4362.00 ,0.05955,0.04882,0.06597,0.002,0.006,0.000,13.16,-4.06,-40.28,1.29,-0.40,-3.95
4363.00 ,0.05929,0.04819,0.06597,0.001,0.005,0.000,13.47,-3.75,-40.43,1.32,-0.37,-3.96
4364.00 ,0.05968,0.04756,0.06622,0.002,0.005,0.001,13.47,-3.75,-40.43,1.32,-0.37,-3.96
4365.00 ,0.05917,0.04819,0.06622,0.001,0.005,0.001,13.63,-4.06,-40.57,1.34,-0.40,-3.98
4366.00 ,0.05942,0.04693,0.06597,0.002,0.004,0.000,13.32,-3.59,-40.14,1.31,-0.35,-3.94
4367.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.47,-3.59,-40.57,1.32,-0.35,-3.98
4368.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.47,-3.59,-40.28,1.32,-0.35,-3.95
4369.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.32,-3.44,-40.57,1.31,-0.34,-3.98
4370.00 ,0.05955,0.04693,0.06609,0.002,0.004,0.000,13.63,-4.06,-40.72,1.34,-0.40,-3.99
4371.00 ,0.05942,0.04819,0.06609,0.002,0.005,0.000,13.16,-4.06,-40.43,1.29,-0.40,-3.96
4372.00 ,0.05955,0.04756,0.06635,0.002,0.005,0.001,13.63,-3.75,-40.57,1.34,-0.37,-3.98
4373.00 ,0.05942,0.04882,0.06622,0.002,0.006,0.001,13.32,-3.59,-40.72,1.31,-0.35,-3.99
4374.00 ,0.05955,0.04756,0.06609,0.002,0.005,0.000,13.16,-3.91,-40.72,1.29,-0.38,-3.99
4375.00 ,0.05942,0.04693,0.06622,0.002,0.004,0.001,13.16,-3.75,-40.72,1.29,-0.37,-3.99
4376.00 ,0.05942,0.04756,0.06609,0.002,0.005,0.000,13.32,-3.91,-40.72,1.31,-0.38,-3.99
4377.00 ,0.05929,0.04819,0.06609,0.001,0.005,0.000,13.16,-3.59,-40.72,1.29,-0.35,-3.99
4378.00 ,0.05929,0.04629,0.06622,0.001,0.003,0.001,13.32,-4.22,-40.72,1.31,-0.41,-3.99
