"Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California"
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX
daily rainfall maxima and daily medians other sensors at toe station, 2002 - 2018
date,mid_downslope_extensometer_cm_mid_E2_B,mid_shallow_piezometer_cm_mid_P1,mid_deep_open_tube_piezometer_cm_mid_P2,mid_deep_driven_piezometer_cm_mid_P4,mid_upslope_mid_deep_driven_piezometer_cm_mid_P5,mid_downslope_mid_deep_driven_piezometer_cm_mid_P6,mid_precipitation_mm_mid_R
5/9/2003,15.2,141.8,255.6,,,,1091.44
5/10/2003,19.7,137.7,252.9,,,,1091.44
5/11/2003,23,133.3,253.9,,,,1091.44
5/12/2003,25.6,127.7,256.7,,,,1091.44
5/13/2003,27.5,123.7,261.1,,,,1091.44
5/14/2003,28.7,121.95,266.55,,,,1091.44
5/15/2003,29.5,113.7,267.7,,,,1091.44
5/16/2003,29.9,107.2,268.95,,,,1091.44
5/17/2003,30.1,99.4,271,,,,1091.44
5/18/2003,30.3,89.2,268.1,,,,1091.44
5/19/2003,30.3,77.8,262.6,,,,1091.44
5/20/2003,30.3,64,259.9,,,,1091.44
5/21/2003,30.3,56,257.4,,,,1091.44
5/22/2003,30.3,49,254,,,,1091.44
5/23/2003,30.3,44.3,249.9,,,,1091.44
5/24/2003,30.3,39.75,246.9,,,,1091.44
5/25/2003,30.3,35.7,242.2,,,,1091.44
5/26/2003,30.3,32.1,233.6,,,,1091.44
5/27/2003,30.3,30.8,229.3,,,,1091.44
5/28/2003,30.3,30.5,226.2,,,,1091.44
5/29/2003,30.3,30,225.6,,,,1091.44
5/30/2003,30.3,28.6,221.8,,,,1091.44
5/31/2003,30.3,29.1,217.2,,,,1091.44
6/1/2003,30.3,27.4,213.8,,,,1091.44
6/2/2003,30.3,27.6,212.5,,,,1091.44
6/3/2003,30.3,27.4,210.2,,,,1091.44
6/4/2003,30.3,26.1,207.8,,,,1091.44
6/5/2003,30.3,24.85,204.25,,,,1091.44
6/6/2003,30.3,22.85,200.05,,,,1091.44
6/7/2003,30.3,21.9,197.2,,,,1091.44
6/8/2003,30.3,21.7,195.9,,,,1091.44
6/9/2003,30.3,21.5,194.1,,,,1091.44
6/10/2003,30.3,19.6,190.65,,,,1091.44
6/11/2003,30.3,17.8,187,,,,1091.44
6/12/2003,30.3,16.1,184.6,,,,1091.44
6/13/2003,30.3,13,180.2,,,,1091.44
6/14/2003,30.3,10.9,176.5,,,,1091.44
6/15/2003,30.3,9.1,174.3,,,,1091.44
6/16/2003,30.3,7.3,173.15,,,,1091.44
6/17/2003,30.3,5.05,171.3,,,,1091.44
6/18/2003,30.3,3.8,171.4,,,,1091.44
6/19/2003,30.4,2.1,170.5,,,,1091.44
6/20/2003,30.5,-0.6,166.85,,,,1091.44
6/21/2003,30.5,-2.7,162.8,,,,1091.44
6/22/2003,30.5,-3.4,159.8,,,,1091.44
6/23/2003,30.5,-4,159,,,,1091.44
6/24/2003,30.5,-4.8,153.4,,,,1091.44
6/25/2003,30.5,-5.2,146.3,,,,1091.44
6/26/2003,30.4,-4.6,143.1,,,,1091.44
6/27/2003,30.3,-4.6,142.6,,,,1091.44
6/28/2003,30.3,-4.7,142,,,,1091.44
6/29/2003,30.3,-4.6,139.1,,,,1091.44
6/30/2003,30.3,-5,136.2,,,,1091.44
7/1/2003,30.5,-5.4,134.1,,,,1091.44
7/2/2003,30.3,-5.3,132.2,,,,1091.44
7/3/2003,30.3,-5.3,129.3,,,,1091.44
7/4/2003,30.3,-3.7,126.65,,,,1091.44
7/5/2003,30.3,-3.5,125.8,,,,1091.44
7/6/2003,30.3,-3.3,125.3,,,,1091.44
7/7/2003,30.3,-3.3,122.55,,,,1091.44
7/8/2003,30.3,-2.3,116.4,,,,1091.44
7/9/2003,30.3,-2,114.3,,,,1091.44
7/10/2003,30.3,-1.9,110.45,,,,1091.44
7/11/2003,30.3,0,108.7,,,,1091.44
7/12/2003,30.3,0,105.6,,,,1091.44
7/13/2003,30.3,0.1,103.9,,,,1091.44
7/14/2003,30.3,-0.1,103.6,,,,1091.44
7/15/2003,30.1,-0.4,102.5,,,,1091.44
7/16/2003,30.1,-0.6,99.9,,,,1091.44
7/17/2003,30.1,-0.7,94.8,,,,1091.44
7/18/2003,30.1,-0.8,91.7,,,,1091.44
7/19/2003,30.1,-0.8,90.2,,,,1091.44
7/20/2003,30.1,-0.75,88.1,,,,1091.44
7/21/2003,30.1,-0.8,85.9,,,,1091.44
7/22/2003,30.1,-0.8,84.4,,,,1091.44
7/23/2003,30.1,-0.8,82.3,,,,1091.44
7/24/2003,30.1,-0.8,80.8,,,,1091.44
7/25/2003,30.1,-0.8,78,,,,1091.44
7/26/2003,30.1,-0.7,72.5,,,,1091.44
7/27/2003,30.1,-0.7,69.2,,,,1091.44
7/28/2003,29.9,-0.7,67.4,,,,1091.44
7/29/2003,29.9,-0.7,66.3,,,,1091.44
7/30/2003,29.9,-0.7,63.2,,,,1091.44
7/31/2003,30.1,-0.8,59.5,,,,1093.98
8/1/2003,30.1,-1.1,56.8,,,,1093.98
8/2/2003,30.1,-1.15,54.1,,,,1105.92
8/3/2003,30.1,-1.1,51.8,,,,1105.92
8/4/2003,30.1,-1,50.05,,,,1105.92
8/5/2003,30.1,-0.9,47.9,,,,1105.92
8/6/2003,30.2,-0.8,45.15,,,,1105.92
8/7/2003,30.1,-0.8,43.7,,,,1105.92
8/8/2003,30.1,-0.8,40.95,,,,1105.92
8/9/2003,30.3,-0.7,37.5,,,,1105.92
8/10/2003,30.1,-0.7,34,,,,1105.92
8/11/2003,30.1,-0.7,31.6,,,,1105.92
8/12/2003,30.1,-0.7,31,,,,1105.92
8/13/2003,30.1,-0.7,25.3,,,,1105.92
8/14/2003,30.1,-0.7,21.4,,,,1105.92
8/15/2003,30.1,-0.7,17.9,,,,1105.92
8/16/2003,30.1,-0.7,15.1,,,,1105.92
8/17/2003,30.1,-0.7,13.9,,,,1105.92
8/18/2003,29.9,-0.6,11.9,,,,1105.92
8/19/2003,29.9,-0.6,9.8,,,,1105.92
8/20/2003,29.9,-0.6,9,,,,1105.92
8/21/2003,29.9,-0.5,7.3,,,,1105.92
8/22/2003,30.1,-0.6,5.75,,,,1106.17
8/23/2003,29.9,-0.7,3.8,,,,1106.17
8/24/2003,29.9,-0.6,1.9,,,,1106.17
8/25/2003,29.9,-0.6,0.9,,,,1106.17
8/26/2003,29.9,-0.6,0.9,,,,1109.73
8/27/2003,29.9,-0.6,0.9,,,,1109.73
8/28/2003,29.9,-0.6,0.9,,,,1109.73
8/29/2003,29.9,-0.6,0.9,,,,1109.73
8/30/2003,29.9,-0.5,0.9,,,,1109.73
8/31/2003,29.9,-0.5,0.9,,,,1109.73
9/1/2003,29.9,-0.5,0.9,,,,1109.73
9/2/2003,29.9,-0.5,0.9,,,,1109.73
9/3/2003,29.9,-0.5,0.9,,,,1109.73
9/4/2003,29.9,-0.5,0.9,,,,1109.73
9/5/2003,29.9,-0.5,0.9,,,,1109.73
9/6/2003,29.9,-0.6,0.9,,,,1109.73
9/7/2003,29.9,-0.6,0.9,,,,1109.73
9/8/2003,29.9,-0.5,0.9,,,,1109.73
9/9/2003,29.9,-0.5,0.9,,,,1109.73
9/10/2003,29.7,-0.4,0.9,,,,1109.73
9/11/2003,29.7,-0.4,0.9,,,,1109.73
9/12/2003,29.7,-0.4,1,,,,1109.73
9/13/2003,29.7,-0.5,1,,,,1109.73
9/14/2003,29.7,-0.6,0.9,,,,1109.73
9/15/2003,29.7,-0.6,0.9,,,,1109.73
9/16/2003,29.7,-0.6,0.9,,,,1109.73
9/17/2003,29.9,-0.5,0.9,,,,1109.73
9/18/2003,29.7,-0.5,0.9,,,,1109.73
9/19/2003,29.7,-0.5,0.9,,,,1109.73
9/20/2003,29.7,-0.5,0.9,,,,1109.73
9/21/2003,29.7,-0.5,0.9,,,,1109.73
9/22/2003,29.7,-0.45,0.9,,,,1109.73
9/23/2003,29.7,-0.5,0.9,,,,1109.73
9/24/2003,29.7,-0.4,0.9,,,,1109.73
9/25/2003,29.7,-0.4,0.9,,,,1109.73
9/26/2003,29.7,-0.4,0.9,,,,1109.73
9/27/2003,29.7,-0.4,0.9,,,,1109.73
9/28/2003,29.7,-0.4,0.9,,,,1109.73
9/29/2003,29.7,-0.35,0.9,,,,1109.73
9/30/2003,29.7,-0.3,0.9,,,,1109.73
10/1/2003,0,-0.3,0.9,,,,0
10/2/2003,0,-0.2,0.9,,,,0
10/3/2003,0,-0.2,0.9,,,,0
10/4/2003,0,-0.2,0.9,,,,0
10/5/2003,0,-0.2,0.9,,,,0
10/6/2003,0,-0.1,0.9,,,,0
10/7/2003,0,-0.1,0.9,,,,0
10/8/2003,0,-0.1,0.9,,,,0
10/9/2003,0,-0.1,0.9,,,,0
10/10/2003,0,-0.2,0.9,,,,0
10/11/2003,0,-0.2,0.9,,,,0
10/12/2003,0,-0.2,0.9,,,,0
10/13/2003,0,-0.2,0.9,,,,0
10/14/2003,0,-0.3,0.9,,,,0
10/15/2003,0,-0.3,0.9,,,,0
10/16/2003,0,-0.2,0.9,,,,0
10/17/2003,-0.2,-0.2,0.9,,,,0
10/18/2003,-0.2,-0.2,0.9,,,,0
10/19/2003,-0.2,-0.1,0.9,,,,0
10/20/2003,-0.2,-0.2,0.9,,,,0
10/21/2003,-0.2,-0.2,0.9,,,,0
10/22/2003,-0.2,-0.2,0.9,,,,0
10/23/2003,-0.2,-0.1,0.9,,,,0
10/24/2003,-0.2,-0.2,0.9,,,,0
10/25/2003,-0.2,-0.4,0.9,,,,0
10/26/2003,-0.2,-0.4,0.8,,,,0
10/27/2003,-0.2,-0.4,0.8,,,,0
10/28/2003,-0.2,-0.4,0.85,,,,0
10/29/2003,0,-0.3,0.8,,,,0
10/30/2003,0,-0.3,0.8,,,,0
10/31/2003,0.2,-0.3,0.6,,,,0.76
11/1/2003,0.2,-0.2,0.6,,,,4.83
11/2/2003,0.2,-0.2,0.6,,,,5.33
11/3/2003,0.8,-0.2,0.6,,,,19.81
11/4/2003,0.3,-0.2,0.6,,,,19.81
11/5/2003,0.4,-0.2,0.6,,,,19.81
11/6/2003,0.2,-0.2,0.6,,,,19.81
11/7/2003,0.2,-0.2,0.6,,,,21.08
11/8/2003,0.2,-0.2,0.6,,,,35.05
11/9/2003,0.4,-0.3,0.6,,,,46.99
11/10/2003,0.4,-0.2,0.6,,,,46.99
11/11/2003,0.4,-0.3,0.6,,,,46.99
11/12/2003,0.4,-0.3,0.6,,,,46.99
11/13/2003,0.4,-0.3,0.6,,,,46.99
11/14/2003,0.4,-0.3,0.6,,,,57.91
11/15/2003,0.4,-0.3,0.6,,,,65.53
11/16/2003,0.4,-0.3,0.6,,,,65.53
11/17/2003,0.4,-0.4,0.6,,,,66.55
11/18/2003,0.4,-0.4,0.5,,,,66.55
11/19/2003,0.4,-0.4,0.5,,,,66.55
11/20/2003,0.4,-0.4,0.6,,,,66.55
11/21/2003,0.4,-0.4,0.5,,,,66.55
11/22/2003,0.6,-0.3,0.5,,,,66.55
11/23/2003,0.4,-0.3,0.4,,,,66.55
11/24/2003,0.4,-0.4,0.5,,,,66.55
11/25/2003,0.4,-0.3,0.5,,,,66.55
11/26/2003,0.4,-0.3,0.3,,,,66.55
11/27/2003,0.2,-0.3,0.3,,,,66.55
11/28/2003,0.2,-0.4,0.3,,,,66.55
11/29/2003,0.2,-0.4,0.3,,,,66.55
11/30/2003,0.3,-0.4,0.3,,,,66.55
12/1/2003,0.4,-0.4,0.3,,,,69.34
12/2/2003,0.4,-0.5,0.3,,,,69.34
12/3/2003,0.2,-0.5,0.3,,,,69.34
12/4/2003,0.2,-0.5,0.3,,,,69.6
12/5/2003,0.2,-0.5,0.3,,,,78.23
12/6/2003,0.2,-0.5,0.2,,,,124.46
12/7/2003,0.4,-0.5,0.2,,,,142.24
12/8/2003,0.4,-0.5,0.1,,,,142.24
12/9/2003,0.4,-0.5,0.2,,,,146.05
12/10/2003,0.6,-0.5,0.1,,,,180.85
12/11/2003,1,-0.5,0.1,,,,202.44
12/12/2003,1.2,-0.5,0.1,,,,214.88
12/13/2003,1,-0.4,0,,,,226.06
12/14/2003,1.2,45.35,0,,,,251.21
12/15/2003,1.2,11.45,0,,,,251.21
12/16/2003,1,-0.3,0,,,,251.21
12/17/2003,1,-1.2,0,,,,251.21
12/18/2003,1,-2.2,0,,,,251.21
12/19/2003,1,-2.8,-0.05,,,,254
12/20/2003,1,-2.8,-0.1,,,,268.73
12/21/2003,1,2,-0.2,,,,274.83
12/22/2003,1,3.5,-0.2,,,,274.83
12/23/2003,1,1.8,-0.2,,,,279.4
12/24/2003,1,116.5,-0.2,,,,325.12
12/25/2003,1,119.6,-0.2,,,,338.84
12/26/2003,1.2,79.8,-0.3,,,,344.42
12/27/2003,1.2,69.9,-0.3,,,,349.25
12/28/2003,1.2,66.7,-0.3,,,,349.25
12/29/2003,1.2,69.2,-0.3,,,,376.43
12/30/2003,1.2,111.4,-0.3,,,,381
12/31/2003,1.2,90,6.5,,,,382.02
1/1/2004,1.2,127,42.85,,,,430.53
1/2/2004,1.2,122.9,63.25,,,,435.61
1/3/2004,1.2,118.9,77.1,,,,453.39
1/4/2004,1.2,111.6,82,,,,455.17
1/5/2004,1,112.1,88.75,,,,455.17
1/6/2004,1,101.9,95.9,,,,455.42
1/7/2004,1,112.1,99.1,,,,461.01
1/8/2004,1,110.8,100.8,,,,461.26
1/9/2004,1,96.45,102.5,,,,461.26
1/10/2004,1,84.7,104.2,,,,461.26
1/11/2004,1,78.7,108.1,,,,461.26
1/12/2004,1,70.6,105.3,,,,461.26
1/13/2004,0.8,65.25,103.6,,,,461.26
1/14/2004,0.8,62.2,107.45,,,,461.26
1/15/2004,0.8,59.4,114.3,,,,461.26
1/16/2004,0.8,54.9,115,,,,461.26
1/17/2004,0.8,50.8,115.3,,,,461.26
1/18/2004,0.8,47.4,114.3,,,,461.26
1/19/2004,0.8,45.9,116.35,,,,461.26
1/20/2004,0.8,44.7,120.1,,,,461.26
1/21/2004,0.8,39.45,116.6,,,,461.26
1/22/2004,0.8,37.4,116.2,,,,461.26
1/23/2004,0.6,37,120.65,,,,461.26
1/24/2004,0.8,36.7,128,,,,467.11
1/25/2004,0.8,34.3,126.2,,,,467.87
1/26/2004,0.8,32.4,123.3,,,,469.65
1/27/2004,0.8,32.5,124.1,,,,484.63
1/28/2004,0.8,34,124,,,,486.16
1/29/2004,0.8,48.45,125,,,,486.16
1/30/2004,0.8,51.6,129.3,,,,488.7
1/31/2004,0.8,53.3,136.3,,,,488.7
2/1/2004,0.8,50.2,137.55,,,,488.7
2/2/2004,1,51.5,145.05,,,,497.59
2/3/2004,1.2,98.5,145.4,,,,514.86
2/4/2004,1.2,113.3,145.8,,,,521.21
2/5/2004,1,114.5,153.8,,,,521.21
2/6/2004,1,112.2,161.4,,,,524.51
2/7/2004,1,114.95,169.6,,,,529.34
2/8/2004,1,112.8,181.1,,,,529.34
2/9/2004,1,109.8,187.4,,,,529.34
2/10/2004,0.8,99.5,190.1,,,,529.34
2/11/2004,0.8,91.1,193.9,,,,529.34
2/12/2004,0.8,87.4,194.8,,,,529.34
2/13/2004,0.8,86,195.4,,,,529.34
2/14/2004,0.8,83.4,195.6,,,,529.34
2/15/2004,0.8,81.7,196.6,,,,532.13
2/16/2004,0.8,113.9,197.6,,,,562.86
2/17/2004,0.8,115.7,204.5,,,,566.17
2/18/2004,1,120.9,214.95,,,,591.06
2/19/2004,1,120,221.8,,,,591.06
2/20/2004,1,120.5,230.75,,,,591.06
2/21/2004,,,,,,,
2/22/2004,,,,,,,
2/23/2004,1.2,123.7,243.3,,,,601.22
2/24/2004,1.2,124.1,241,,,,609.35
2/25/2004,1.2,137.6,249.95,,,,657.1
2/26/2004,1.4,140.2,252.8,,,,678.43
2/27/2004,1.4,139.8,252,,,,716.28
2/28/2004,1.4,140.2,252.55,,,,716.79
2/29/2004,1.2,139.8,255.55,,,,716.79
3/1/2004,1.4,137.9,263.9,,,,723.65
3/2/2004,1.6,136.1,267,,,,723.65
3/3/2004,1.6,133.8,262.9,,,,723.65
3/4/2004,1.6,131.3,263.85,,,,723.65
3/5/2004,1.6,125.5,260,,,,723.65
3/6/2004,1.6,121.9,255.5,,,,723.65
3/7/2004,1.6,118.1,254.6,,,,723.65
3/8/2004,1.6,114.6,255.8,,,,723.65
3/9/2004,1.6,112.5,257,,,,723.65
3/10/2004,1.6,109.7,258.7,,,,723.65
3/11/2004,1.6,107.9,258.4,,,,723.65
3/12/2004,1.6,103.9,258.1,,,,723.65
3/13/2004,1.6,93.45,253.3,,,,723.65
3/14/2004,1.6,87.1,246.9,,,,723.65
3/15/2004,1.4,84.3,245.6,,,,723.65
3/16/2004,1.6,74.55,243.85,,,,723.65
3/17/2004,1.4,69.9,243.6,,,,723.65
