time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	531.37	100.17	-1.27	42.67	68.14
1	531.37	100.17	-1.27	42.67	68.14
2	531.37	99.17	-0.37	42.90	68.14
3	531.37	98.93	-0.40	43.13	68.14
4	531.37	98.97	-0.87	43.23	68.15
5	531.37	99.53	-1.03	43.53	68.16
6	531.37	99.80	-0.90	44.53	68.15
7	531.37	100.03	-0.43	44.43	68.11
8	531.37	101.60	-0.23	43.67	68.10
9	531.37	101.37	0.10	42.63	68.10
10	531.37	101.27	-0.53	42.10	68.14
11	531.37	98.10	-0.63	42.37	68.15
12	531.37	98.43	-0.93	42.20	68.14
13	531.37	98.63	2.10	42.53	68.13
14	531.37	100.80	1.67	42.53	68.12
15	531.37	99.97	1.33	42.43	68.13
16	531.37	100.90	-1.10	42.00	68.13
17	531.37	101.17	-0.73	41.50	68.13
18	531.37	102.17	-0.07	41.33	68.08
19	531.37	100.80	0.43	41.57	68.06
20	531.37	100.40	2.70	41.83	68.04
21	531.37	99.40	2.33	41.83	68.07
22	531.37	99.70	1.77	42.00	68.07
23	531.37	99.83	-0.40	42.17	68.08
24	531.37	100.77	-1.73	42.40	68.08
25	531.37	100.73	-0.93	42.67	68.07
26	531.37	100.50	-0.63	42.60	68.06
27	531.37	100.27	1.10	42.63	68.07
28	531.37	100.13	0.27	42.63	68.09
29	531.37	100.73	0.20	42.93	68.09
30	531.37	100.70	0.33	43.10	68.10
31	531.37	100.23	1.10	43.20	68.09
32	531.37	99.53	1.00	43.33	68.08
33	531.37	100.07	0.60	43.57	68.01
34	531.37	101.23	0.23	43.57	68.02
35	531.37	100.67	0.13	43.73	68.02
36	531.37	100.33	0.40	43.70	68.05
37	531.37	99.60	1.00	43.90	68.03
38	531.37	99.43	1.20	43.83	68.03
39	531.37	98.97	0.77	43.87	68.03
40	531.37	99.30	0.03	43.77	68.04
41	531.37	100.10	0.10	43.87	68.04
42	531.37	101.17	0.73	44.03	68.03
43	531.37	99.80	1.00	44.10	68.01
44	531.37	99.67	1.00	44.10	68.02
45	531.37	99.10	0.43	43.90	68.03
46	531.37	100.50	0.20	44.10	68.04
47	531.37	100.10	0.37	44.13	68.03
48	531.37	100.03	1.07	44.27	67.97
49	531.37	100.10	1.27	44.27	67.96
50	531.37	100.67	0.93	44.20	67.96
51	531.37	100.17	0.53	44.17	68.02
52	531.37	100.73	0.60	44.13	68.02
53	531.37	100.97	0.80	44.27	68.01
54	531.37	101.03	1.03	44.33	68.00
55	531.37	99.93	1.03	44.33	68.00
56	531.37	99.70	1.10	44.30	68.01
57	531.37	100.63	1.10	44.27	68.02
58	531.37	100.57	0.33	44.20	68.02
59	531.37	100.60	0.43	44.20	68.02
60	531.37	99.87	0.67	44.20	68.01
61	531.37	100.80	1.33	44.30	68.02
62	531.37	101.03	1.03	44.20	68.03
63	531.37	100.97	0.80	43.97	68.02
64	531.37	100.90	0.57	44.00	67.99
65	531.37	100.10	-0.13	44.10	67.98
66	531.37	100.87	-0.10	44.47	67.99
67	531.37	100.97	0.47	44.47	67.99
68	531.37	101.47	1.10	44.50	68.00
69	531.37	101.07	1.27	44.30	68.01
70	531.37	100.53	1.27	44.23	68.00
71	531.37	100.53	1.73	44.23	67.99
72	531.37	100.60	1.47	44.30	67.96
73	531.37	100.13	1.37	44.23	67.96
74	531.37	100.20	0.97	44.10	67.97
75	531.37	100.13	2.53	44.10	68.00
76	531.37	100.43	1.77	44.20	67.99
77	531.37	100.13	2.20	44.20	67.98
78	531.37	99.93	1.13	44.23	67.97
79	531.37	100.30	1.87	44.13	67.97
80	531.37	100.17	1.40	44.17	67.98
81	531.37	99.90	0.63	44.10	67.99
82	531.37	99.47	0.60	44.07	67.99
83	531.37	99.47	1.00	44.00	67.98
84	531.37	99.80	1.50	43.77	67.97
85	531.37	99.83	1.10	43.83	67.96
86	531.37	100.17	0.87	43.83	67.97
87	531.37	100.63	0.97	43.97	67.97
88	531.37	101.13	1.37	43.83	67.98
89	531.37	100.33	1.77	44.07	68.00
90	531.37	99.67	3.57	44.10	67.99
91	531.37	99.00	4.07	43.93	67.98
92	531.37	99.17	3.67	43.60	67.95
93	531.37	99.83	1.27	43.50	67.97
94	531.37	100.60	0.70	43.63	67.98
95	531.37	101.53	1.67	43.67	67.98
96	531.37	100.77	2.17	43.67	67.97
97	531.37	99.60	2.27	43.70	67.95
98	531.37	98.73	1.47	43.63	67.94
99	531.37	98.97	1.30	43.47	67.95
100	531.37	100.40	1.27	43.30	67.96
101	531.37	101.20	1.37	43.20	67.97
102	531.37	100.73	1.53	43.33	67.97
103	531.37	99.67	1.70	43.30	67.95
104	531.37	98.47	1.43	43.27	67.93
105	531.37	99.23	1.10	43.17	67.93
106	531.37	99.63	0.97	43.17	67.95
107	531.37	100.80	0.77	43.17	67.96
108	531.37	100.67	1.23	43.20	67.96
109	531.37	100.60	1.47	43.37	67.95
110	531.37	100.13	1.73	43.47	67.93
111	531.37	100.33	1.57	43.40	67.93
112	531.37	99.63	1.30	43.23	67.94
113	531.37	99.93	1.40	43.23	67.94
114	531.37	99.53	1.43	43.27	67.94
115	531.37	100.10	1.00	43.37	67.93
116	531.37	99.83	1.23	43.30	67.93
117	531.37	100.07	1.37	43.17	67.93
118	531.37	100.33	1.93	42.87	67.95
119	531.37	101.23	1.60	42.63	67.96
120	531.37	101.33	1.30	42.53	67.97
121	531.37	101.37	1.40	42.67	67.94
122	531.37	101.03	1.80	42.80	67.93
123	531.37	100.23	2.07	42.97	67.92
124	531.37	99.93	1.97	42.73	67.93
125	531.37	99.33	1.83	42.60	67.94
126	531.37	100.33	2.03	42.40	67.92
127	531.37	100.40	2.47	42.43	67.91
128	531.37	100.70	1.33	42.57	67.90
129	531.37	100.87	0.80	42.47	67.91
130	531.37	101.77	0.30	42.40	67.92
131	531.37	101.73	0.80	42.20	67.93
132	531.37	101.77	1.07	42.33	67.94
133	531.37	100.93	1.57	42.43	67.93
134	531.37	101.43	2.40	42.47	67.92
135	531.37	101.20	3.03	42.43	67.92
136	531.37	101.07	2.40	42.67	67.92
137	531.37	100.37	1.73	42.43	67.93
138	531.37	99.97	0.90	42.37	67.94
