time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	3332.48	198.40	-6.03	20.07	62.67
1	3332.48	198.40	-6.03	20.07	62.67
2	3332.48	198.53	-4.07	19.90	62.69
3	3332.48	198.50	-6.00	19.80	62.70
4	3332.48	199.20	-6.20	19.63	62.71
5	3332.48	199.60	-6.47	19.73	62.69
6	3332.48	199.93	-4.83	19.73	62.69
7	3332.48	199.90	-4.40	19.70	62.68
8	3332.48	200.73	-3.80	19.57	62.67
9	3332.48	200.23	-2.03	19.50	62.67
10	3332.48	200.67	-2.47	19.13	62.70
11	3332.48	199.97	-2.60	19.17	62.71
12	3332.48	200.63	-5.50	19.17	62.71
13	3332.48	200.27	-4.33	19.40	62.69
14	3332.48	199.93	-4.30	19.33	62.68
15	3332.48	199.73	-2.73	19.30	62.67
16	3332.48	199.90	-3.77	19.40	62.66
17	3332.48	199.50	-3.50	19.40	62.67
18	3332.48	198.97	-4.20	19.37	62.67
19	3332.48	198.50	-3.77	19.23	62.68
20	3332.48	198.40	-4.13	19.10	62.69
21	3332.48	198.13	-4.07	18.97	62.69
22	3332.48	198.93	-4.23	19.00	62.68
23	3332.48	199.00	-4.40	19.07	62.67
24	3332.48	199.37	-3.90	19.10	62.65
25	3332.48	198.93	-4.07	19.20	62.66
26	3332.48	198.87	-3.90	18.93	62.69
27	3332.48	198.93	-4.40	18.87	62.71
28	3332.48	199.07	-4.30	18.70	62.71
29	3332.48	199.37	-4.43	18.93	62.69
30	3332.48	199.47	-4.13	19.27	62.68
31	3332.48	199.40	-4.23	19.37	62.68
32	3332.48	199.60	-3.50	19.30	62.68
33	3332.48	199.30	-3.67	18.93	62.68
34	3332.48	199.07	-3.87	18.77	62.68
35	3332.48	199.33	-4.80	18.73	62.69
36	3332.48	199.63	-4.70	18.70	62.69
37	3332.48	199.87	-4.70	18.73	62.67
38	3332.48	199.30	-4.23	18.93	62.67
39	3332.48	199.20	-4.20	18.93	62.67
40	3332.48	200.07	-1.30	18.87	62.68
41	3332.48	200.23	-1.60	18.53	62.67
42	3332.48	200.17	-1.87	18.43	62.67
43	3332.48	199.00	-4.97	18.30	62.68
44	3332.48	199.33	-4.90	18.23	62.68
45	3332.48	199.00	-4.33	18.30	62.69
46	3332.48	199.20	-5.07	18.30	62.68
47	3332.48	198.80	-4.80	18.43	62.67
48	3332.48	198.93	-4.90	18.33	62.67
49	3332.48	199.10	-4.57	18.30	62.67
50	3332.48	199.10	-5.90	18.20	62.69
51	3332.48	199.23	-6.23	18.10	62.69
52	3332.48	199.37	-5.70	18.10	62.69
53	3332.48	199.47	-4.30	18.00	62.69
54	3332.48	199.50	-3.60	18.07	62.68
55	3332.48	199.63	-3.37	18.13	62.67
56	3332.48	199.50	-3.37	18.03	62.68
57	3332.48	199.63	-4.40	17.93	62.69
58	3332.48	199.60	-5.07	17.83	62.70
59	3332.48	199.63	-5.20	17.93	62.69
60	3332.48	199.87	-4.97	17.93	62.69
61	3332.48	199.60	-4.73	17.93	62.70
62	3332.48	199.93	-5.17	17.93	62.68
63	3332.48	199.13	-4.97	17.93	62.68
64	3332.48	199.10	-4.30	17.83	62.66
65	3332.48	198.60	-3.67	17.77	62.67
66	3332.48	199.30	-3.90	17.67	62.68
67	3332.48	199.93	-4.23	17.63	62.69
68	3332.48	200.47	-4.23	17.60	62.69
69	3332.48	200.90	-3.97	17.77	62.68
70	3332.48	199.93	-3.47	17.77	62.67
71	3332.48	199.47	-4.40	17.87	62.67
72	3332.48	198.27	-4.30	17.57	62.66
73	3332.48	198.80	-4.93	17.53	62.68
74	3332.48	198.37	-4.43	17.33	62.69
75	3332.48	198.60	-4.63	17.17	62.69
76	3332.48	198.63	-4.27	17.10	62.67
77	3332.48	199.00	-3.30	17.13	62.66
78	3332.48	198.97	-3.10	17.37	62.66
79	3332.48	199.10	-1.67	17.40	62.66
80	3332.48	199.23	-2.33	17.30	62.68
81	3332.48	199.50	-2.77	17.33	62.70
82	3332.48	198.83	-4.37	17.33	62.69
83	3332.48	199.13	-4.43	17.40	62.67
84	3332.48	199.17	-3.83	17.20	62.66
85	3332.48	198.83	-3.60	17.03	62.66
86	3332.48	199.00	-3.77	16.93	62.65
87	3332.48	199.23	-4.30	16.93	62.65
88	3332.48	200.47	-4.57	16.93	62.67
89	3332.48	199.97	-4.47	16.97	62.68
90	3332.48	199.83	-2.60	17.03	62.68
91	3332.48	199.40	-2.30	17.07	62.67
92	3332.48	199.87	-2.53	17.00	62.66
93	3332.48	199.57	-4.70	16.80	62.67
94	3332.48	199.50	-4.93	16.67	62.67
95	3332.48	199.47	-4.23	16.70	62.68
96	3332.48	199.17	-3.40	16.77	62.69
97	3332.48	198.83	-3.50	16.83	62.68
98	3332.48	199.20	-3.70	16.67	62.69
99	3332.48	200.00	-4.63	16.63	62.67
100	3332.48	199.37	-4.73	16.57	62.68
101	3332.48	199.27	-4.93	16.63	62.68
102	3332.48	198.83	-4.40	16.67	62.67
103	3332.48	199.07	-4.30	16.73	62.66
104	3332.48	198.40	-2.43	16.67	62.66
105	3332.48	199.00	-3.50	16.50	62.67
106	3332.48	199.97	-3.43	16.33	62.69
107	3332.48	200.47	-5.53	16.17	62.69
108	3332.48	200.27	-4.00	16.27	62.68
109	3332.48	200.27	-3.83	16.33	62.67
110	3332.48	199.77	-3.40	16.43	62.67
111	3332.48	199.17	-3.70	16.37	62.66
112	3332.48	198.83	-4.13	16.23	62.68
113	3332.48	199.40	-4.10	16.20	62.68
114	3332.48	199.47	-4.10	16.13	62.68
115	3332.48	200.30	-3.80	16.20	62.67
116	3332.48	199.60	-3.90	16.17	62.66
117	3332.48	198.57	-3.50	16.10	62.66
118	3332.48	198.30	-3.80	16.00	62.67
119	3332.48	199.17	-5.30	16.00	62.67
120	3332.48	200.23	-6.30	16.03	62.68
121	3332.48	199.17	-5.93	16.07	62.68
122	3332.48	198.73	-4.33	16.10	62.68
123	3332.48	198.60	-3.60	16.10	62.66
124	3332.48	200.13	-3.93	15.97	62.65
125	3332.48	199.73	-4.13	15.87	62.66
126	3332.48	199.93	-4.33	15.83	62.68
127	3332.48	198.90	-4.13	15.90	62.69
128	3332.48	199.43	-4.10	15.97	62.68
129	3332.48	199.63	-2.50	16.07	62.66
130	3332.48	199.33	-1.70	16.07	62.66
131	3332.48	199.10	-1.77	15.93	62.66
132	3332.48	199.50	-3.33	15.73	62.67
133	3332.48	199.63	-3.87	15.57	62.68
134	3332.48	199.17	-3.67	15.63	62.68
135	3332.48	198.47	-4.80	15.63	62.67
136	3332.48	199.40	-5.20	15.57	62.68
137	3332.48	200.07	-5.97	15.47	62.68
138	3332.48	200.30	-4.73	15.43	62.69
139	3332.48	199.63	-4.87	15.53	62.68
140	3332.48	198.57	-4.33	15.50	62.68
141	3332.48	197.93	-4.40	15.53	62.67
142	3332.48	197.83	-3.67	15.53	62.66
143	3332.48	199.00	-3.57	15.53	62.65
144	3332.48	199.40	-3.57	15.43	62.67
145	3332.48	198.93	-4.03	15.40	62.68
146	3332.48	198.90	-4.03	15.30	62.69
147	3332.48	199.77	-4.17	15.30	62.68
148	3332.48	200.23	-3.73	15.27	62.66
149	3332.48	199.80	-3.33	15.07	62.66
150	3332.48	199.17	-3.20	15.00	62.66
151	3332.48	199.13	-3.90	14.90	62.66
152	3332.48	199.43	-4.43	15.17	62.67
153	3332.48	199.40	-3.90	15.10	62.68
154	3332.48	199.50	-3.43	15.17	62.68
155	3332.48	199.30	-3.03	15.07	62.67
156	3332.48	199.17	-3.00	15.17	62.66
157	3332.48	199.40	-3.33	15.10	62.67
158	3332.48	199.00	-3.90	15.03	62.68
159	3332.48	198.67	-4.57	14.93	62.68
160	3332.48	199.20	-4.57	14.97	62.68
161	3332.48	199.23	-4.13	14.97	62.67
162	3332.48	200.23	-3.70	15.07	62.66
163	3332.48	199.57	-3.50	15.10	62.66
164	3332.48	199.30	-3.67	15.03	62.67
165	3332.48	198.77	-4.03	14.83	62.68
166	3332.48	198.33	-4.43	14.73	62.69
167	3332.48	199.03	-4.67	15.03	62.70
168	3332.48	198.90	-4.73	15.13	62.69
169	3332.48	199.23	-4.00	15.17	62.67
170	3332.48	199.33	-4.33	14.90	62.65
171	3332.48	199.53	-3.83	14.80	62.66
172	3332.48	200.13	-4.37	14.40	62.67
173	3332.48	200.03	-4.67	14.30	62.68
174	3332.48	200.50	-4.93	14.30	62.67
175	3332.48	199.30	-4.57	14.63	62.67
176	3332.48	199.03	-3.90	14.77	62.66
177	3332.48	198.70	-3.87	14.83	62.66
178	3332.48	198.83	-4.10	14.80	62.65
179	3332.48	199.60	-3.90	14.67	62.65
180	3332.48	199.20	-4.43	14.50	62.68
181	3332.48	199.73	-5.33	14.47	62.69
182	3332.48	199.13	-5.30	14.43	62.69
183	3332.48	199.07	-4.63	14.43	62.67
184	3332.48	198.90	-1.63	14.43	62.66
185	3332.48	199.13	-1.73	14.50	62.67
186	3332.48	199.43	-2.13	14.57	62.67
187	3332.48	198.93	-4.17	14.47	62.68
188	3332.48	198.60	-4.23	14.33	62.68
189	3332.48	199.63	-4.03	14.30	62.68
190	3332.48	199.63	-3.80	14.37	62.67
191	3332.48	199.17	-3.43	14.63	62.66
192	3332.48	198.87	-3.47	14.67	62.63
193	3332.48	199.57	-4.23	14.53	62.64
194	3332.48	199.87	-4.87	14.30	62.64
195	3332.48	199.60	-5.10	14.20	62.67
196	3332.48	199.07	-4.70	14.23	62.67
197	3332.48	198.93	-4.10	14.23	62.67
198	3332.48	198.33	-3.77	13.93	62.64
199	3332.48	198.73	-3.57	13.93	62.64
200	3332.48	199.17	-3.93	13.87	62.65
201	3332.48	200.47	-4.33	14.07	62.67
202	3332.48	200.30	-4.10	14.00	62.68
203	3332.48	200.40	-4.00	14.03	62.67
204	3332.48	199.33	-3.87	14.13	62.67
205	3332.48	199.60	-3.80	14.10	62.66
206	3332.48	199.17	-3.57	14.07	62.66
207	3332.48	199.23	-3.57	14.07	62.64
208	3332.48	199.40	-4.17	14.13	62.64
209	3332.48	199.97	-6.43	14.03	62.65
210	3332.48	199.60	-6.33	13.90	62.66
211	3332.48	199.27	-5.93	13.83	62.65
212	3332.48	198.63	-3.57	13.90	62.64
213	3332.48	198.80	-3.37	13.77	62.65
214	3332.48	198.70	-3.93	13.77	62.66
215	3332.48	199.10	-4.30	13.70	62.65
216	3332.48	199.00	-4.57	13.80	62.66
217	3332.48	200.03	-2.97	13.73	62.66
218	3332.48	199.90	-2.97	13.77	62.68
219	3332.48	199.77	-3.73	13.83	62.67
220	3332.48	199.00	-3.13	13.83	62.66
221	3332.48	199.37	-3.13	13.77	62.65
222	3332.48	199.57	-2.37	13.67	62.66
223	3332.48	199.53	-4.73	13.63	62.67
224	3332.48	199.70	-4.50	13.63	62.67
225	3332.48	200.03	-4.20	13.93	62.67
226	3332.48	199.70	-3.40	13.90	62.66
227	3332.48	198.43	-3.57	13.87	62.66
228	3332.48	197.97	-4.10	13.60	62.66
229	3332.48	198.83	-4.47	13.57	62.67
230	3332.48	199.40	-4.53	13.57	62.67
231	3332.48	199.47	-4.07	13.50	62.67
232	3332.48	198.77	-3.80	13.57	62.65
233	3332.48	199.47	-3.73	13.60	62.64
234	3332.48	200.37	-3.67	13.97	62.64
235	3332.48	200.63	-4.03	13.87	62.66
236	3332.48	200.13	-4.20	13.67	62.67
237	3332.48	199.23	-4.67	13.03	62.69
238	3332.48	198.80	-4.40	13.07	62.69
239	3332.48	198.80	-3.97	13.20	62.68
240	3332.48	199.00	-3.77	13.47	62.65
241	3332.48	199.23	-4.77	13.47	62.65
242	3332.48	199.70	-5.10	13.57	62.64
243	3332.48	199.43	-4.57	13.43	62.66
244	3332.48	199.27	-3.77	13.30	62.67
245	3332.48	198.63	-4.03	13.07	62.68
246	3332.48	199.37	-4.47	13.13	62.67
247	3332.48	199.40	-4.03	13.40	62.64
248	3332.48	199.67	-4.17	13.43	62.63
249	3332.48	199.37	-4.33	13.50	62.63
250	3332.48	199.57	-4.47	13.27	62.65
251	3332.48	199.73	-4.10	13.17	62.67
252	3332.48	199.50	-4.07	12.97	62.67
253	3332.48	199.87	-4.37	12.77	62.68
254	3332.48	200.17	-4.20	12.83	62.67
255	3332.48	200.00	-3.93	13.03	62.66
256	3332.48	199.63	-3.43	13.20	62.67
257	3332.48	198.83	-2.67	13.23	62.67
258	3332.48	198.93	-2.80	13.07	62.67
259	3332.48	199.30	-2.97	12.90	62.69
260	3332.48	199.60	-3.67	12.70	62.70
261	3332.48	199.70	-3.93	12.70	62.71
262	3332.48	199.17	-3.80	12.80	62.67
263	3332.48	199.13	-3.87	12.77	62.68
264	3332.48	198.40	-1.73	12.73	62.68
265	3332.48	198.47	-1.97	12.83	62.66
266	3332.48	198.20	-1.73	12.97	62.65
267	3332.48	198.33	-3.37	12.93	62.65
268	3332.48	198.80	-3.03	12.77	62.65
269	3332.48	199.03	-3.43	12.70	62.65
270	3332.48	199.90	-4.80	12.67	62.65
271	3332.48	199.87	-5.27	12.83	62.66
272	3332.48	199.93	-5.40	12.77	62.67
273	3332.48	199.83	-4.63	12.70	62.67
274	3332.48	199.47	-3.73	12.50	62.67
275	3332.48	199.83	-3.60	12.53	62.67
276	3332.48	200.13	-3.23	12.53	62.66
277	3332.48	200.33	-3.47	12.53	62.66
278	3332.48	200.00	-3.03	12.57	62.65
279	3332.48	199.80	-2.67	12.63	62.65
280	3332.48	200.03	-3.93	12.70	62.65
281	3332.48	199.93	-4.27	12.60	62.65
282	3332.48	200.00	-4.57	12.60	62.63
283	3332.48	199.20	-4.03	12.43	62.63
284	3332.48	198.90	-3.83	12.40	62.64
285	3332.48	198.73	-4.20	12.23	62.67
286	3332.48	199.47	-4.20	12.23	62.67
287	3332.48	199.93	-4.63	12.10	62.67
288	3332.48	200.03	-4.27	12.03	62.68
289	3332.48	198.90	-3.97	12.13	62.67
290	3332.48	198.73	-3.70	12.33	62.67
291	3332.48	198.37	-3.40	12.50	62.65
292	3332.48	199.17	-3.40	12.50	62.64
293	3332.48	199.43	-3.33	12.50	62.63
294	3332.48	198.80	-3.60	12.30	62.64
295	3332.48	199.10	-4.87	12.23	62.65
296	3332.48	199.47	-4.87	12.00	62.66
297	3332.48	200.57	-5.17	12.03	62.67
298	3332.48	200.33	-5.17	11.97	62.67
299	3332.48	199.13	-5.07	12.03	62.68
300	3332.48	199.23	-4.83	12.17	62.67
301	3332.48	198.83	-3.47	12.30	62.65
302	3332.48	199.43	-4.40	12.43	62.64
303	3332.48	199.07	-4.40	12.40	62.63
304	3332.48	199.50	-4.97	12.40	62.64
305	3332.48	199.73	-3.77	12.33	62.64
306	3332.48	198.47	-3.90	12.33	62.64
307	3332.48	198.77	-2.50	12.20	62.65
308	3332.48	198.23	-3.13	11.90	62.65
309	3332.48	199.40	-3.17	11.77	62.66
310	3332.48	199.23	-4.57	11.63	62.67
311	3332.48	199.70	-4.57	11.80	62.67
312	3332.48	200.07	-4.07	11.77	62.67
313	3332.48	200.17	-3.67	11.83	62.68
314	3332.48	200.07	-3.57	11.80	62.69
315	3332.48	199.60	-3.70	12.00	62.69
316	3332.48	199.40	-3.93	12.10	62.67
317	3332.48	199.27	-3.87	12.13	62.66
318	3332.48	199.83	-4.30	12.00	62.64
319	3332.48	199.60	-4.37	11.90	62.65
320	3332.48	199.50	-4.30	11.80	62.65
321	3332.48	199.33	-4.37	11.70	62.67
322	3332.48	198.77	-4.27	11.57	62.67
