time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	2346.64	99.63	-4.60	12.53	64.99
1	2346.64	99.63	-4.60	12.53	64.99
2	2346.64	100.07	-5.17	12.47	64.99
3	2346.64	100.50	-6.70	12.27	65.00
4	2346.64	101.27	-5.70	12.27	65.00
5	2346.64	101.23	-6.10	12.20	65.02
6	2346.64	100.67	-6.10	12.80	65.01
7	2346.64	100.20	-7.50	12.97	65.01
8	2346.64	99.90	-6.63	12.93	65.00
9	2346.64	99.63	-6.93	12.63	65.00
10	2346.64	99.60	-7.20	12.67	65.00
11	2346.64	99.20	-7.73	12.77	65.03
12	2346.64	100.43	-7.80	12.60	65.04
13	2346.64	100.53	-6.67	12.50	65.04
14	2346.64	101.53	-6.47	12.33	65.01
15	2346.64	101.13	-6.07	12.43	65.00
16	2346.64	102.17	-6.80	12.73	64.99
17	2346.64	101.53	-6.63	12.77	64.98
18	2346.64	101.00	-6.67	12.50	64.99
19	2346.64	100.53	-6.87	12.43	65.00
20	2346.64	100.73	-7.43	12.43	65.01
21	2346.64	100.20	-7.67	12.40	65.02
22	2346.64	99.57	-8.00	12.27	64.99
23	2346.64	99.37	-7.43	12.17	64.99
24	2346.64	99.93	-7.13	12.07	64.96
25	2346.64	99.57	-6.70	11.83	64.97
26	2346.64	99.83	-6.43	11.90	64.97
27	2346.64	99.00	-6.83	12.10	64.99
28	2346.64	98.50	-7.00	12.10	65.02
29	2346.64	97.57	-7.70	12.20	65.03
30	2346.64	98.70	-7.93	12.13	65.03
31	2346.64	99.37	-8.00	12.20	65.02
32	2346.64	99.70	-7.60	12.40	65.04
33	2346.64	99.23	-6.87	12.47	65.04
34	2346.64	99.63	-7.47	12.43	65.03
35	2346.64	100.13	-7.50	12.10	64.99
36	2346.64	101.10	-7.70	12.07	65.01
37	2346.64	101.30	-7.07	12.07	65.02
38	2346.64	102.40	-7.33	11.97	65.03
39	2346.64	101.90	-7.90	11.97	65.02
40	2346.64	102.13	-7.80	12.00	65.02
41	2346.64	101.20	-7.63	11.83	64.99
42	2346.64	101.00	-7.47	12.07	64.98
43	2346.64	100.47	-7.47	12.13	64.98
44	2346.64	99.67	-6.20	12.47	64.99
45	2346.64	99.93	-5.57	12.50	64.99
46	2346.64	99.40	-5.57	12.47	64.99
47	2346.64	101.27	-6.60	12.50	65.00
48	2346.64	101.00	-6.43	12.20	65.01
49	2346.64	101.97	-6.80	12.17	65.02
50	2346.64	101.53	-7.43	12.07	65.02
51	2346.64	101.70	-8.13	12.07	65.02
52	2346.64	100.53	-7.70	11.83	65.02
