time (s)	cumulative shear displacment (cm)	total normal stress (kPa)	shear stress (kPa)	pore-water pressure (kPa)	specimen thickness (mm)
0	856.91	99.83	-10.73	27.27	66.97
1	856.91	99.83	-10.73	27.27	66.97
2	856.91	100.27	-10.73	27.50	66.97
3	856.91	100.07	-10.47	27.70	66.96
4	856.91	100.30	-9.83	27.67	66.97
5	856.91	99.93	-10.80	27.77	66.96
6	856.91	99.57	-11.77	27.87	66.97
7	856.91	99.90	-12.27	28.03	66.96
8	856.91	100.10	-11.20	28.13	66.98
9	856.91	100.23	-12.23	28.33	66.97
10	856.91	100.17	-11.73	28.80	66.96
11	856.91	100.67	-11.50	28.80	66.95
12	856.91	100.80	-9.43	28.90	66.95
13	856.91	100.27	-9.93	28.30	66.96
14	856.91	100.30	-10.20	28.70	66.99
15	856.91	99.77	-10.07	28.67	66.99
16	856.91	100.53	-9.43	29.30	66.98
17	856.91	100.27	-9.20	29.13	66.96
18	856.91	100.83	-9.77	29.23	66.99
19	856.91	100.67	-10.20	29.00	67.00
20	856.91	100.13	-10.50	29.00	66.99
21	856.91	100.37	-9.83	28.80	66.94
22	856.91	100.73	-9.33	28.83	66.93
23	856.91	101.23	-5.90	28.80	66.93
24	856.91	101.43	0.00	28.97	66.95
25	856.91	100.27	0.97	28.93	66.95
26	856.91	99.93	-2.40	29.00	66.95
27	856.91	99.47	-8.30	29.07	66.94
28	856.91	100.30	-10.00	28.80	66.95
29	856.91	100.93	-10.17	29.50	66.95
30	856.91	101.23	-10.83	30.40	66.94
31	856.91	101.33	-10.70	31.63	66.93
32	856.91	100.93	-10.30	32.17	66.92
33	856.91	101.10	-10.07	32.50	66.88
34	856.91	101.13	-9.90	32.90	66.88
35	856.91	100.40	-10.27	33.00	66.91
36	856.91	100.20	-9.93	33.20	66.94
37	856.91	99.77	-10.03	33.50	66.93
38	856.91	100.37	-10.00	33.80	66.90
39	856.91	101.23	-10.10	34.03	66.90
40	856.91	101.60	-10.27	34.10	66.92
41	856.91	101.83	-10.60	33.90	66.92
42	856.91	100.30	-10.70	33.93	66.92
43	856.91	99.70	-10.60	34.03	66.89
44	856.91	99.27	-10.10	34.37	66.89
45	856.91	99.63	-10.17	34.50	66.89
46	856.91	100.13	-9.43	34.60	66.90
47	856.91	100.80	-9.73	34.43	66.92
48	856.91	101.13	-10.07	34.53	66.92
49	856.91	100.83	-10.67	34.57	66.91
50	856.91	100.00	-10.47	34.83	66.89
51	856.91	100.93	-10.30	34.70	66.89
52	856.91	101.10	-10.53	34.57	66.90
53	856.91	100.77	-10.83	34.43	66.91
54	856.91	99.43	-10.63	34.43	66.91
55	856.91	99.03	-10.43	34.47	66.90
56	856.91	99.77	-9.83	34.47	66.89
57	856.91	100.00	-10.93	34.37	66.89
58	856.91	101.90	12.07	34.23	66.91
59	860.93	99.63	34.33	33.40	66.91
60	865.81	97.33	59.73	29.43	66.91
61	870.55	97.27	60.57	28.53	66.90
62	875.17	98.37	62.27	28.27	66.91
63	879.66	99.90	61.20	32.47	66.90
64	884.00	98.70	61.63	32.23	66.90
65	888.22	97.43	60.53	34.00	66.89
66	892.30	99.93	60.80	34.93	66.88
67	896.25	99.43	60.70	32.97	66.88
68	900.07	101.87	61.17	28.40	66.90
69	903.75	100.67	60.53	23.90	66.92
70	907.30	100.70	60.47	21.87	66.92
71	910.72	102.27	59.93	23.17	66.89
72	914.01	101.03	60.00	20.43	66.89
73	917.16	100.73	59.97	19.57	66.88
74	920.18	98.97	60.90	15.87	66.92
75	923.07	100.33	61.17	19.83	66.92
76	925.82	101.07	61.97	21.47	66.93
77	928.43	101.77	62.97	24.50	66.91
78	930.91	100.80	64.13	22.57	66.91
79	933.26	99.57	64.73	21.00	66.91
80	935.46	98.67	64.50	21.60	66.91
81	937.54	98.57	65.00	22.23	66.91
82	939.47	100.30	64.87	25.47	66.89
83	941.26	100.43	65.07	26.17	66.88
84	942.91	100.83	64.93	26.47	66.87
85	944.43	100.57	64.53	26.63	66.88
86	945.81	100.53	66.00	24.17	66.90
87	947.05	99.63	66.03	25.57	66.91
88	948.14	98.87	66.53	24.87	66.90
89	949.11	99.17	65.83	24.80	66.90
90	949.93	99.33	67.70	21.93	66.90
91	950.60	98.17	68.10	20.00	66.90
92	951.14	98.33	67.80	21.07	66.93
93	951.53	98.67	67.90	21.10	66.93
94	951.77	100.60	68.13	22.30	66.93
95	951.85	100.17	59.93	22.37	66.91
96	951.84	100.43	42.70	24.13	66.90
97	951.84	99.27	23.40	25.73	66.88
98	951.83	99.40	11.07	26.90	66.87
99	951.83	99.87	4.23	27.80	66.88
100	951.83	101.03	2.47	28.47	66.89
101	951.83	101.00	5.07	29.27	66.92
102	951.83	101.03	6.57	29.90	66.92
103	951.83	100.07	3.50	30.37	66.91
104	951.83	99.33	-1.97	31.00	66.87
105	951.82	98.90	-4.47	31.67	66.83
106	951.82	99.43	-3.80	32.60	66.83
107	951.82	99.83	-4.07	33.20	66.84
108	951.82	99.83	-4.13	33.80	66.87
109	951.82	100.20	-4.80	34.50	66.86
110	951.82	100.20	-4.77	35.33	66.85
111	951.82	99.83	-4.57	35.63	66.85
112	951.82	99.80	-4.80	35.60	66.86
113	951.82	100.90	-5.03	35.57	66.85
114	951.82	100.97	-4.43	35.87	66.85
115	951.82	100.67	-3.90	36.33	66.83
116	951.82	99.67	-3.40	36.37	66.85
117	951.82	99.67	-3.73	36.60	66.85
118	951.82	99.63	-3.87	36.70	66.85
119	951.82	99.63	-3.87	36.97	66.86
120	951.82	100.17	-3.53	37.13	66.86
121	951.82	100.90	-3.10	37.37	66.85
122	951.82	101.10	-2.40	37.67	66.84
123	951.82	100.27	-1.97	37.87	66.84
124	951.82	99.53	-2.23	38.07	66.84
125	951.82	99.70	-2.47	38.07	66.85
126	951.82	100.23	-2.73	38.10	66.85
127	951.82	100.37	-2.33	38.43	66.86
128	951.82	99.97	-2.07	38.57	66.84
129	951.82	100.37	-1.70	38.70	66.83
130	951.82	100.70	-2.67	38.40	66.82
131	951.82	101.03	-2.80	38.47	66.84
132	951.82	101.23	-2.77	38.47	66.84
133	951.82	101.07	-1.40	38.60	66.84
134	951.82	100.87	-0.80	38.67	66.82
135	951.82	100.53	-0.37	38.67	66.82
136	951.82	99.97	-0.50	39.00	66.82
137	951.82	100.13	-0.60	39.00	66.84
138	951.82	99.17	-0.83	39.07	66.85
139	951.82	99.10	-0.43	38.87	66.85
140	951.82	99.00	-0.73	38.90	66.81
141	951.82	100.10	-0.20	38.93	66.80
142	951.82	101.03	-0.53	38.83	66.80
143	951.82	100.40	-0.37	38.73	66.83
144	951.82	99.47	-0.87	38.67	66.85
145	951.82	99.37	-0.37	38.73	66.84
146	951.82	99.80	0.70	38.87	66.83
147	951.82	100.20	3.13	38.97	66.82
148	951.82	99.97	2.73	38.90	66.82
149	951.82	99.87	1.50	38.73	66.83
150	951.82	100.60	-0.63	38.73	66.84
151	951.82	99.70	-0.33	38.73	66.83
152	951.82	100.23	0.23	38.90	66.82
153	951.82	100.27	-0.30	38.83	66.81
154	951.82	100.97	-0.57	38.70	66.81
155	951.82	101.30	-0.73	38.53	66.82
156	951.82	100.07	-0.63	38.47	66.83
157	951.82	100.23	-0.30	38.50	66.83
158	951.82	99.57	-0.27	38.47	66.83
159	951.82	100.33	0.23	38.40	66.83
160	951.82	100.13	0.23	38.40	66.82
161	951.82	101.10	0.27	38.43	66.81
162	951.82	101.23	0.17	38.53	66.81
163	951.82	101.47	-0.60	38.50	66.82
164	951.82	100.67	-1.30	38.43	66.83
165	951.82	100.33	-2.53	38.30	66.84
166	951.82	100.90	-2.10	38.20	66.83
167	951.82	100.93	0.17	38.27	66.82
168	951.82	101.17	1.53	38.37	66.81
169	951.82	100.50	2.13	38.40	66.80
170	951.82	100.13	1.60	38.20	66.80
171	951.82	99.97	1.53	38.07	66.80
172	951.82	99.00	1.27	37.97	66.81
173	951.82	99.53	0.37	38.17	66.82
174	951.82	99.57	0.17	38.17	66.83
175	951.82	100.00	0.47	38.00	66.83
176	951.82	99.93	0.67	37.80	66.83
177	951.82	100.80	1.00	37.77	66.82
178	951.82	101.37	0.97	37.93	66.81
179	951.82	101.30	0.87	37.87	66.79
180	951.82	99.80	0.90	37.73	66.78
181	951.82	99.47	1.07	37.60	66.79
182	951.82	99.73	0.90	37.43	66.80
183	951.82	100.70	-0.23	37.30	66.82
184	951.82	101.23	-1.03	37.30	66.82
185	951.82	100.77	-0.50	37.37	66.82
186	951.82	100.07	0.37	37.43	66.81
187	951.82	99.93	3.47	37.43	66.80
188	951.82	100.80	3.13	37.43	66.79
189	951.82	101.77	3.23	37.40	66.79
190	951.82	101.70	1.63	37.27	66.80
191	951.82	101.17	1.60	37.13	66.80
192	951.82	100.53	2.80	37.00	66.81
193	951.82	99.57	1.93	36.87	66.81
194	951.82	99.83	2.03	36.83	66.81
195	951.82	99.33	1.07	36.83	66.81
196	951.82	99.97	1.30	36.90	66.80
197	951.82	99.50	1.43	36.90	66.79
198	951.82	100.33	2.10	36.97	66.79
199	951.82	100.20	2.03	36.70	66.79
200	951.82	99.50	2.10	36.53	66.80
201	951.82	99.00	1.10	36.13	66.82
202	951.82	99.33	0.73	36.33	66.85
203	951.82	100.63	0.40	36.40	66.85
204	951.82	100.93	0.90	36.57	66.83
205	951.82	101.37	1.23	36.60	66.79
206	951.82	100.97	1.57	36.53	66.78
207	951.82	100.17	1.93	36.47	66.78
208	951.82	99.03	1.80	36.27	66.79
209	951.82	99.03	1.53	36.20	66.78
210	951.82	99.73	1.10	36.10	66.80
211	951.82	100.73	1.03	36.17	66.79
212	951.82	100.97	1.20	36.17	66.80
213	951.82	100.87	1.20	36.27	66.79
214	951.82	100.83	1.07	36.13	66.75
215	951.82	99.73	1.30	36.03	66.75
216	951.82	99.43	0.93	35.90	66.75
217	951.82	99.10	1.00	35.73	66.80
218	951.82	100.83	0.83	35.70	66.79
219	951.82	101.10	1.20	35.73	66.79
220	951.82	100.83	1.70	35.73	66.78
221	951.82	99.73	1.67	35.70	66.78
222	951.82	100.27	0.93	35.70	66.79
223	951.82	101.10	0.50	35.70	66.79
224	951.82	101.20	0.67	35.60	66.80
225	951.82	101.30	1.50	35.40	66.80
226	951.82	101.40	1.93	35.40	66.79
227	951.82	101.07	2.00	35.60	66.78
228	951.82	101.40	2.10	35.57	66.78
229	951.82	100.13	1.90	35.47	66.78
230	951.82	100.50	1.57	35.07	66.79
231	951.82	100.27	1.60	35.00	66.79
232	951.82	100.37	1.63	34.93	66.79
233	951.82	100.53	2.13	35.10	66.78
234	951.82	99.67	2.20	35.13	66.77
235	951.82	100.17	1.53	35.10	66.77
236	951.82	100.27	0.63	34.87	66.77
237	951.82	100.63	0.23	34.80	66.78
238	951.82	100.77	0.80	34.73	66.79
239	951.82	100.27	1.43	34.73	66.79
240	951.82	99.90	1.07	34.70	66.77
241	951.82	99.30	1.57	34.67	66.76
242	951.82	99.00	0.90	34.67	66.76
243	951.82	100.37	1.23	34.47	66.77
244	951.82	100.60	1.33	34.33	66.79
245	951.82	101.20	2.70	34.23	66.79
246	951.82	100.60	3.27	34.33	66.79
247	951.82	99.93	3.07	34.43	66.78
248	951.82	99.53	2.33	34.40	66.77
249	951.82	99.20	2.17	34.30	66.76
250	951.82	100.23	1.73	34.47	66.77
251	951.82	100.13	1.73	34.37	66.78
252	951.82	100.40	1.30	34.30	66.78
253	951.82	100.37	0.97	33.97	66.77
254	951.82	101.27	1.10	34.07	66.76
255	951.82	100.83	1.50	34.07	66.76
256	951.82	100.23	2.20	34.00	66.76
257	951.82	99.67	2.10	33.87	66.78
258	951.82	99.83	2.03	33.67	66.79
259	951.82	100.17	2.10	33.60	66.79
260	951.82	99.67	1.77	33.57	66.77
261	951.82	100.20	1.60	33.63	66.76
262	951.82	100.03	1.70	33.83	66.73
263	951.82	100.60	2.30	34.10	66.75
264	951.82	99.87	2.67	34.13	66.76
265	951.82	100.10	2.47	33.77	66.79
266	951.82	101.13	2.17	33.40	66.78
267	951.82	100.93	1.80	33.37	66.76
268	951.82	101.00	1.80	33.80	66.75
269	951.82	100.37	2.47	33.70	66.74
270	951.82	100.80	3.13	33.57	66.75
271	951.82	100.37	3.13	33.17	66.75
272	951.82	99.63	2.47	33.20	66.76
273	951.82	99.13	1.73	33.10	66.77
274	951.82	99.77	1.23	33.03	66.77
275	951.82	99.87	2.63	32.87	66.77
276	951.82	100.00	3.17	32.70	66.76
277	951.82	99.80	3.63	32.77	66.73
278	951.82	99.97	2.23	32.93	66.72
279	951.82	100.50	1.73	33.07	66.73
280	951.82	101.17	1.67	32.83	66.76
281	951.82	101.93	1.73	32.70	66.78
282	951.82	101.77	1.97	32.53	66.79
283	951.82	101.73	2.23	32.50	66.78
284	951.82	100.60	2.77	32.47	66.77
285	951.82	100.53	2.80	32.57	66.76
286	951.82	100.07	2.87	32.60	66.75
287	951.82	100.33	2.33	32.43	66.75
288	951.82	100.30	2.40	32.17	66.76
289	951.82	100.57	-0.43	32.07	66.77
290	951.82	100.80	-1.03	32.03	66.78
291	951.82	100.73	-1.17	32.23	66.76
292	951.82	99.70	2.57	32.20	66.75
293	951.82	99.70	3.40	32.23	66.72
294	951.82	99.83	3.60	32.10	66.73
295	951.82	100.03	2.13	32.10	66.74
296	951.82	99.90	1.67	32.03	66.79
297	951.82	99.43	1.40	31.87	66.80
298	951.82	99.73	1.63	31.83	66.82
299	951.82	100.00	2.30	31.87	66.78
300	951.82	99.83	2.47	32.00	66.76
301	951.82	99.77	2.53	31.70	66.74
302	951.82	98.77	2.23	31.57	66.75
303	951.82	98.80	2.30	31.43	66.76
304	951.82	99.50	2.30	31.53	66.76
305	951.82	100.63	2.40	31.50	66.76
306	951.82	101.23	2.30	31.63	66.77
307	951.82	100.70	2.57	31.73	66.76
308	951.82	100.43	2.87	31.70	66.77
309	951.82	100.00	3.00	31.27	66.73
310	951.82	99.73	2.80	31.13	66.74
311	951.82	100.07	2.23	31.10	66.75
312	951.82	100.93	2.33	31.33	66.79
313	951.82	101.47	2.47	31.37	66.78
314	951.82	101.67	3.13	31.37	66.76
315	951.82	100.50	3.40	31.43	66.75
316	951.82	100.13	3.47	31.33	66.74
317	951.82	98.77	3.33	31.23	66.73
318	951.82	98.50	2.53	31.07	66.74
319	951.82	99.07	2.30	30.93	66.75
320	951.82	99.80	1.93	30.93	66.76
321	951.82	100.60	2.57	30.97	66.76
322	951.82	100.17	3.13	30.93	66.75
323	951.82	100.20	3.27	30.83	66.76
324	951.82	99.50	3.00	30.77	66.75
325	951.82	99.73	2.33	30.87	66.76
326	951.82	99.87	0.23	30.83	66.76
327	951.82	100.40	0.10	30.77	66.78
328	951.82	99.83	0.37	30.70	66.78
329	951.82	99.37	2.80	30.70	66.76
330	951.82	99.60	2.87	30.63	66.76
331	951.82	100.30	2.47	30.53	66.77
332	951.82	100.60	1.90	30.43	66.77
333	951.82	101.10	1.97	30.47	66.75
334	951.82	100.80	2.63	30.53	66.74
335	951.82	100.73	3.13	30.33	66.73
336	951.82	100.17	3.27	30.23	66.71
337	951.82	100.00	1.83	30.13	66.71
338	951.82	99.97	1.50	30.23	66.73
339	951.82	99.57	1.33	30.20	66.76
340	951.82	99.83	2.57	30.20	66.75
341	951.82	100.10	2.80	30.30	66.74
342	951.82	100.83	3.03	30.30	66.73
343	951.82	100.87	2.77	30.33	66.73
344	951.82	100.43	2.57	30.27	66.74
345	951.82	100.70	2.43	30.13	66.75
346	951.82	100.77	2.77	30.17	66.75
347	951.82	100.83	2.40	30.13	66.74
348	951.82	100.33	2.50	30.53	66.73
349	951.82	99.50	2.37	30.30	66.73
350	951.82	100.00	2.70	30.03	66.73
351	951.82	99.60	2.27	29.60	66.75
352	951.82	100.60	2.43	29.93	66.75
353	951.82	100.40	2.50	30.10	66.75
354	951.82	100.83	3.23	30.17	66.74
355	951.82	100.67	3.27	29.80	66.73
356	951.82	101.07	3.43	29.73	66.73
357	951.82	101.27	3.00	29.57	66.74
358	951.82	101.23	2.80	29.37	66.75
359	951.82	101.10	2.60	29.40	66.75
360	951.82	102.10	3.17	29.50	66.71
361	951.82	102.17	3.43	29.63	66.69
362	951.82	101.30	3.73	29.63	66.70
363	951.82	100.10	2.67	29.47	66.70
364	951.82	100.13	2.10	29.50	66.70
365	951.82	100.63	2.87	29.33	66.70
366	951.82	100.13	3.43	29.30	66.73
367	951.82	98.97	3.83	29.17	66.73
368	951.82	98.47	3.27	29.17	66.72
369	951.82	99.37	3.77	29.23	66.72
370	951.82	100.97	3.73	29.20	66.72
371	951.82	101.43	2.50	29.20	66.72
372	951.82	101.33	1.77	29.10	66.74
373	951.82	101.03	1.43	29.03	66.74
374	951.82	100.97	2.17	28.97	66.75
375	951.82	100.87	2.50	28.77	66.74
376	951.82	99.90	2.60	28.77	66.73
377	951.82	100.27	2.93	28.93	66.73
378	951.82	99.97	3.13	29.10	66.72
379	951.82	100.30	3.50	29.13	66.71
380	951.82	100.47	3.43	28.93	66.72
381	951.82	100.17	2.97	28.83	66.72
382	951.82	100.50	3.20	28.67	66.74
383	951.82	100.20	2.93	28.77	66.74
384	951.82	100.63	2.97	28.70	66.74
385	951.82	100.20	2.63	28.77	66.73
386	951.82	100.03	2.33	28.60	66.73
387	951.82	99.90	2.63	28.70	66.72
388	951.82	99.37	2.80	28.70	66.72
389	951.82	99.13	3.33	28.63	66.71
390	951.82	99.27	3.33	28.50	66.70
