Reid, M.E., Brien, D.L., and LaHusen, Richard G., Landslide monitoring data for the Cleveland Corral landslide near U.S. Highway 50, El Dorado County, California
U.S. Geological Survey data release: https://doi.org/10.5066/P1P9DMFX

"sensor information for Cleveland Corral landslide real-time monitoring data, El Dorado County, California"

instrument name,location,parameter measured,instrument ID,units of measurement,start date,end date,manufacturer,model,serial number,piezometer construction type,depth: ground to sensor diaphragm (m) ,range of sensor,notes
toe shallow piezometer P7_A,toe site (toe),groundwater pressure head,toe_P7_A,cm,11/19/2004,6/15/2005,USGS,uses Honeywell 26PCCFA3D,USGS1,"open tube PVC, slotted near bottom",0.94,0 to 15 psi,
toe shallow piezometer P7_B,toe site (toe),groundwater pressure head,toe_P7_B,cm,6/15/2005,9/25/2017,USGS,uses Honeywell 26PCCFA3D,USGS1,"open tube PVC, slotted near bottom",1.03,0 to 15 psi,new location after shallow failure

toe east piezometer P8_A,toe site (toe),groundwater pressure head,toe_P8_A,cm,3/11/2011,9/28/2011,GE Druck,PCDR1730,2961748,open tube steel pipe with tip,3.00,0 to 5 psi,sand-filled tip
toe east piezometer P8_B,toe site (toe),groundwater pressure head,toe_P8_B,cm,10/25/2011,2/6/2013,GE Druck,PCDR1730,2961748,open tube steel pipe with tip,2.41,0 to 5 psi,"sand-filled tip, same location, jacked out and added sand under tip to make shallower"
toe east piezometer P8_C,toe site (toe),groundwater pressure head,toe_P8_C,cm,2/6/2013,3/2/2017,GE Druck,PCDR1730,2961748,open tube steel pipe with tip,2.36,0 to 5 psi,"installed bead-filled tip, new location, 1.8m W of previous installation"
toe east piezometer P8_D,toe site (toe),groundwater pressure head,toe_P8_D,cm,3/9/2017,9/25/2017,GE Druck,PCDR1730,2661745,open tube steel pipe with tip,1.62,0 to 5 psi,new location

toe west piezometer P9_A,toe site (toe),groundwater pressure head,toe_P9_A,cm,3/11/2011,10/25/2011,GE Druck,PCDR1730,2961745,open tube steel pipe with tip,2.14,0 to 5 psi,sand-filled tip
toe west piezometer P9_B,toe site (toe),groundwater pressure head,toe_P9_B,cm,10/25/2011,12/11/2012,GE Druck,PCDR1730,2961745,open tube steel pipe with tip,3.03,0 to 5 psi,"sand-filled tip, same location, drove deeper"
toe west piezometer P9_C,toe site (toe),groundwater pressure head,toe_P9_C,cm,12/11/2012,2/5/2013,GE Druck,PCDR1730,2961745,open tube steel pipe with tip,2.94,0 to 5 psi,installed bead-filled tip at same location
toe west piezometer P9_D,toe site (toe),groundwater pressure head,toe_P9_D,cm,2/5/2013,9/25/2017,GE Druck,PCDR1730,2591705,open tube steel pipe with tip,4.45,0 to 5 psi,"bead-filled tip, new location, 1.1m E of previous installation"

toe volumetric water content sensor VWC,toe site (toe),volumetric water content,toe_M1_A,unitless,11/1/2006,5/17/2017,Decagon,EC-5,not applicable,,,0 - 100%,VWC obtained using Decagon calibration formula for 5v
toe volumetric water content sensor VWC,toe site (toe),volumetric water content,toe_M1_B,unitless,5/17/2017,9/25/2017,Decagon,EC-5,not applicable,,,0 - 100%,VWC obtained using Decagon calibration formula for 5v

Piezometers record subsurface pore-water pressures at different depths and locations within 
"the slide mass.  Pressure at a particular depth is shown as an equivalent water depth, in"
"centimeters. Groundwater in an open tube, slotted at the depth of the sensor, would rise to this height above the sensor.  Sensors"
"are temperature-compensated,  amplified, strain-gauge type pressure transducers vented to the"
atmosphere.  All pressure transducers are amplified ~190X.  Piezometer construction diagrams show details of installations.

Extensometers record downslope displacement of the slide ground surface at different locations 
throughout the slide.  Extensometers use a linear position transducer and extendable metal 
cables.  One end of the cable is anchored on stable ground and the other on potentially moving
"ground. Extensometer cables, above the ground surface, are oriented approximately parallel to "
the local ground surface; directions of the cables are shown on sensor location maps.  Extensometers values are reset
"to zero on October 1 of each water year, so values are cumulative for the water year."

"Rain gauge records precipitation, including rainfall and snowmelt.  The gauge is a ""tipping spoon"""
type that records in units of 0.01 inch and values are converted to mm.  The site receives 
modest amounts of snow that may last a few days.  Snow is captured in the gauge and recorded as 
"precipitation as it melts.  Precipitation is reset to zero on October 1 of each water year, so "
values are cumulative for the water year.
