model,records,median_rmse_heldout,median_mae_heldout,median_bias_heldout,median_p95_abs_residual,median_r2_heldout
double,11,0.03880217519240719,0.037284404616849516,0.037284090994840605,0.053725817830036736,-0.9403831557490776
single,11,0.0371970763058578,0.03630339865750873,0.03630339865750873,0.05183372246502637,-1.030872247942333
