h_m,cv_m2_s,T_s,Pu_kPa,phi_deg,tau_kPa,sigma_eff0_kPa,Pi,R_Pi,FS_PD,Psi
0.04431194301619852,1.1186398027094695e-05,15.348519195408072,31.34990870264863,35.809221319192496,12.662609532040632,86.18796385777003,0.08744100941254114,0.5567627359106968,3.9161741349387436,2.9161741349387436
0.05568737427250849,4.538003766152393e-06,16.101291539647065,19.63567095111194,29.968431173918862,15.366598526867712,34.643358767564536,0.02356199632587014,0.7690596913556786,0.7333068725965981,-0.2666931274034019
0.11727313650119991,4.398288763801964e-05,4.2562123745854885,26.067562297225777,32.44685107178337,22.97167862147881,68.90953507213963,0.013611624122622212,0.8244710429800342,1.3123347436660093,0.31233474366600933
0.09214777807050424,3.450222720255355e-05,12.576987797838441,10.022092048264001,27.15202012775374,18.125079464136185,50.761471971353856,0.05110389886045061,0.6599674432310555,1.2492013870571634,0.24920138705716344
0.11530582035940967,1.0386807903173635e-05,72.17343945876732,11.899592487506464,33.264021556711214,15.188498617224264,72.7129146719964,0.056384150556295795,0.6429004509944338,2.8100025638758455,1.8100025638758455
0.020687432116443655,6.615440972107502e-05,44.10913766763507,12.168791813634561,26.322080594689993,41.314787964233716,43.10043574322574,6.818269983877665,0.012222064177085042,0.5143111504989714,-0.48568884950102864
0.11567226553398761,2.1582865704164758e-05,17.814592349335573,7.084687865015789,28.62632443717851,12.463764315523672,45.6644926771076,0.02873601316335043,0.744961266597185,1.7686155449545258,0.7686155449545258
0.08629142768502579,1.32263572276906e-05,24.839902303962184,5.421164397554341,29.410293707092922,21.33024575545179,55.79155734276172,0.04412196267210583,0.6840022004413425,1.3764424606660417,0.3764424606660417
0.04125754841084711,8.883113811288704e-06,70.9736197415871,33.10042156733404,27.233484958842485,29.788441556012256,40.348278202733866,0.3703866679145636,0.21925895564999257,0.5717241477761976,-0.4282758522238024
0.04983358149214946,2.7135518042868955e-05,11.413874752575978,22.100997117943773,32.032961385086054,39.1436549984671,74.3782668232274,0.12471739137683062,0.47587445629823993,1.0207494023686114,0.020749402368611447
0.022889159854861306,2.5563761902674943e-06,36.74882735280363,34.93663801260733,34.22934373462749,17.391785059940588,46.666917156031474,0.17931166569574955,0.38670403663684716,1.2970581017106688,0.2970581017106688
0.022464155618874878,0.00019679188475238893,4.9904610818826995,9.04907680707527,27.60721245192554,39.13052970432154,79.1324460557628,1.9461112366710693,0.04282043666127449,1.052362269657253,0.05236226965725299
0.025124387594005853,5.961296288198874e-05,77.03165105535003,29.68833559297562,29.1048963294811,15.723954126891943,43.54973584243885,7.274764599485759,0.011455124379630942,1.5298327935409493,0.5298327935409493
0.08340320544223755,1.243215580805651e-06,8.015828647776225,13.09979198005887,27.51924588911983,22.498551211109415,59.22038083407182,0.00143261463928083,0.9430546113747464,1.0852787715704897,0.08527877157048969
0.10853469203085353,1.4269353704790709e-05,31.765636086980525,13.74716973918934,28.157075415475063,20.045986137425665,74.99096026836213,0.038479082042428524,0.7048838156474918,1.7435421374836115,0.7435421374836115
0.10424832900446074,1.3449300715199886e-05,164.59816013872597,10.505388462767806,31.377908922752507,31.718833754860796,84.32704676819229,0.2036978643769321,0.35510299627864855,1.5496692766023308,0.5496692766023308
0.034924909884524034,9.995124340114309e-05,14.61831783913091,28.67170469462631,35.451702921429316,30.01825002880005,74.9208268163182,1.1978846866221533,0.06956657157308058,1.7297838525014186,0.7297838525014186
0.032766236365632764,1.3105318560790601e-05,6.5041890165523535,5.14206991645718,36.91397544819541,21.084785112909096,86.87530501586144,0.07939398779915002,0.5771137568671859,2.989441310541023,1.989441310541023
0.048697335032338966,2.2019422349932018e-06,9.853271149541305,17.40592152930612,37.44941993445645,37.694877134064924,53.18935416839438,0.009149049256473115,0.8560930451697878,0.7779824847323796,-0.22201751526762037
0.11267537393329463,2.9184428112172324e-05,80.92115081343754,23.781872124008082,31.61597064099918,30.316582467036664,45.79856550776745,0.18601810756549447,0.3775801230080286,0.7476222503667165,-0.2523777496332835
0.09463890138414181,9.90501458267783e-06,169.3966344324867,9.479571389175831,36.439339683128615,13.494795589406646,86.60631260196632,0.18733568665428088,0.3758277268991616,4.543462500077722,3.5434625000777222
0.02792806391862885,2.7362032954202436e-05,6.776318542650147,21.18203614685672,34.203263699687334,19.792279362309767,72.40356538832341,0.23771715024009124,0.3174817031155734,2.25545715824654,1.2554571582465401
0.056733175930915106,0.00015098156146766819,4.553507574390981,16.937671392556076,30.22217281071095,21.643730811420625,71.9066079439412,0.21359731231636825,0.3434387396607891,1.7787731387276107,0.7787731387276107
0.03594407616824702,4.988175071793894e-06,9.928547116223266,10.40299572996554,33.128026461076786,39.87147340229648,75.44793470640641,0.03833299363165311,0.7054442937794815,1.114764884167695,0.11476488416769492
0.04471728648349735,1.7942032889474256e-06,11.149522147728247,27.91281024710322,31.02625682421521,36.166139123362804,38.13619561976625,0.010004076844163087,0.8495187779706551,0.23988337937819443,-0.7601166206218055
0.04743226292254855,0.00011942084959716929,165.98897154780292,17.366267708293606,35.06701392977106,40.6961972681638,58.07101698578116,8.810726115983236,0.009458168625679247,0.9988100440419452,-0.0011899559580548225
0.044578935796885634,0.00012438049608668434,53.911356057719466,33.81387468441075,32.171382045030334,28.981390814066085,62.92631664613781,3.374218073552248,0.024697079887286286,1.3476794611241893,0.34767946112418935
0.037936466390999374,2.896931733214975e-06,2.6420903617602054,14.012812511806352,26.045667550828142,35.40667266702627,59.22752346544279,0.005318291970285604,0.8902814917693553,0.6453220304055748,-0.3546779695944252
0.0265522960658289,6.863130561938864e-05,9.943000738247022,17.41440275294567,26.627593584730224,35.19176169954287,87.84086336377007,0.9679113189828629,0.08609001777565332,1.2300805900391636,0.2300805900391636
0.10980758719191928,2.0591305386393798e-06,31.239456761461785,17.10746769864143,27.79686615783523,31.264300114337377,69.45976818185764,0.005334855430615085,0.890110769170672,0.9144493472499374,-0.08555065275006257
0.03972682367461461,1.1052180377056986e-06,6.955336873140973,30.5996253797766,26.984731548713356,39.07870936144083,33.82357578901559,0.004870779258434386,0.8949990975913983,0.08387236291578247,-0.9161276370842175
0.04552546406682021,1.4731775724914916e-06,121.03006118966313,7.792242538121178,28.989671234873352,14.78176425989215,56.64048943168845,0.08602795285575084,0.5602507731659717,1.9594495263624199,0.9594495263624199
0.02427736480120407,0.000118094671697616,19.192633859836697,24.960418933137124,31.71129211034784,40.53547092523579,86.19829706660681,3.8455794908856666,0.02166990268102691,1.3056815619379405,0.3056815619379405
0.07288945380381018,7.008392242032256e-05,24.270307136759612,17.372755877620687,37.31816277106067,17.54902505447787,86.12508963204078,0.3201579428514786,0.24940319391447535,3.552903718387748,2.552903718387748
0.025449967529087965,1.5663825794550047e-06,8.883314720742138,14.77985444719226,35.060868815343014,30.48422733628979,32.77739344749071,0.021483173112803573,0.7794825400165853,0.4893618995530373,-0.5106381004469627
0.04674489562434403,3.7185812521222044e-06,5.289017828789726,8.094992153850878,34.57260205224407,36.03605510397335,59.86335694711636,0.009000858153193646,0.8572632646745368,1.0121073840751624,0.01210738407516243
0.06496303454558112,3.5224689537403674e-06,17.91171162659393,30.1687249399102,36.60869568242839,19.214421587440448,55.84080480732686,0.014950360183600924,0.8160415990276644,1.2071536958055071,0.20715369580550713
0.032784503429649815,3.271358306740722e-05,7.3609494460017535,32.49425923275128,30.195456763168195,25.35212647758801,72.69274001775071,0.22403956943758307,0.33179181880373004,1.4210535595931673,0.42105355959316726
