input,prcc_RPi,prcc_FS_PD,prcc_Psi,abs_prcc_FS_PD
sigma_eff0_kPa,0.0023144556390324094,0.9358821927564573,0.9358821927564573,0.9358821927564573
tau_kPa,0.020358222115884183,-0.9017093819340037,-0.9017093819340037,0.9017093819340037
phi_deg,-0.007814136638314319,0.6942062366671178,0.6942062366671178,0.6942062366671178
cv_m2_s,-0.9724947278151713,0.5215077049467883,0.5215077049467883,0.5215077049467883
Pu_kPa,-0.0007305573631249635,-0.492764824740579,-0.492764824740579,0.492764824740579
T_s,-0.9608740875205379,0.4494906508183519,0.4494906508183519,0.4494906508183519
h_m,0.9389413220197472,-0.34311026017065616,-0.34311026017065616,0.34311026017065616
