Retained fraction boundary,Pi_double_drainage,Pi_single_drainage,single_to_double_ratio,Interpretation
R(Pi)=0.9,0.004417864395351714,0.017671457581406723,3.9999999999999702,single drainage requires larger hydraulic time to dissipate the same fraction
R(Pi)=0.5,0.1126126505605754,0.4504506022423016,4.0,single drainage requires larger hydraulic time to dissipate the same fraction
R(Pi)=0.1,0.8331127832780032,3.332451133112013,4.0,single drainage requires larger hydraulic time to dissipate the same fraction
