input,spearman_RPi,spearman_FS_PD,spearman_Psi,abs_spearman_FS_PD
sigma_eff0_kPa,0.018876574079904833,0.6976753142687587,0.6976753142687587,0.6976753142687587
tau_kPa,0.0006657098518252736,-0.5453307488702985,-0.5453307488702985,0.5453307488702985
phi_deg,0.03873657779823827,0.2387004149639004,0.2387004149639004,0.2387004149639004
Pu_kPa,-0.010043561445654485,-0.16935278153757724,-0.16935278153757724,0.16935278153757724
cv_m2_s,-0.6720411390011428,0.1478101497169486,0.1478101497169486,0.1478101497169486
T_s,-0.5477249271034702,0.12161619921156108,0.12161619921156108,0.12161619921156108
h_m,0.4380372010010334,-0.061670306379730734,-0.061670306379730734,0.061670306379730734
