Pi,R_Pi
0.0001,0.9849548945555255
0.00010392333899733763,0.9846626015213928
0.00010800060388355546,0.984364629718747
0.00011223783369307915,0.9840608688247618
0.00011664130439212656,0.9837512063728203
0.00012121753817434615,0.9834355277116033
0.0001259733131211528,0.9831137159618336
0.00013091567324107322,0.9827856519736322
0.00013605193890296735,0.9824512142819865
0.00014138971767858132,0.9821102790619535
0.00014693691561049068,0.9817627200829349
0.000152701748922122,0.9814084086616215
0.00015869275618720022,0.981047213614699
0.0001649188109766424,0.9806790012100111
0.00017138913500163455,0.9803036351172076
0.00017811331177235317,0.9799209763571864
0.00018510130079256746,0.97953088325068
0.0001923634523111415,0.9791332113658107
0.0001999105226522893,0.9787278134645544
0.00020775369014728803,0.9783145394482393
0.00021590457169124436,0.9778932363020901
0.00022437523994944176,0.9774637480383656
0.00023317824123874787,0.9770259156388762
0.00024232661411057368,0.976579576995826
0.00025183390866290173,0.9761245668519261
0.0002617142066099927,0.9756607167393136
0.00027198214213949536,0.9751878549169315
0.00028265292358784817,0.9747058063072187
0.00029374235596608516,0.9742143924310613
0.0003052668643694006,0.9737134313417826
0.0003172435183051551,0.9732027375578779
0.0003296900569753472,0.9726821219941726
0.0003426249155510053,0.9721513918919708
0.00035606725247741306,0.9716103507475805
0.00037003697785060807,0.9710587982395902
0.0003845547829071902,0.9704965301547165
0.0003996421706711147,0.9699233383121443
0.00041532148780286116,0.9693390104865575
0.0004316159576981537,0.9687433303294171
0.00044854971488525724,0.9681360772889722
0.00046614784077179727,0.9675170265285579
0.0004844364007940446,0.9668859488433261
0.0005034424830236957,0.966242610575442
0.0005231942382893286,0.9655867735274909
0.0005437209218719575,0.9649181948744032
0.0005650529368364437,0.964236627073432
0.0005872218790629489,0.963541817772523
0.0006102605840451245,0.9628335097169701
0.0006342031755243472,0.9621114406540348
0.0006590851160320469,0.9613753432359835
0.0006849432594149795,0.9606249449209489
0.0007118159054212429,0.9598599678721791
0.0007397428564278866,0.9590801288550436
0.0007687654763941404,0.958285139132252
0.0007989267521275802,0.9574747043568621
0.0008302713569539636,0.9566485244633903
0.0008628457168850629,0.9558062935566569
0.0008966980793824711,0.9549476997985326
0.0009318785848192612,0.9540724252924853
0.0009684393407453133,0.9531801459658928
0.0010064344990663328,0.9522705314500217
0.0010459203362508619,0.9513432449577345
0.0010869553366840768,0.9503979431587976
0.0011296002792918448,0.9494342760527502
0.0011739183275633353,0.9484518868392885
0.0012199751231055213,0.9474504117862287
0.0012678388828681383,0.9464294800947616
0.0013175805001831124,0.9453887137622182
0.0013692736497681126,0.9443277274420728
0.0014229948968497335,0.9432461283013003
0.001478823810567962,0.9421435158749069
0.0015368430818298877,0.9410194819176658
0.0015971386457872053,0.9398736102529646
0.0016597998091189249,0.9387054766187062
0.0017249193823078216,0.9375146485102358
0.0017925938171065399,0.9363006850201999
0.001862923349396944,0.9350631366753029
0.0019360121476543408,0.9338015452698823
0.0020119684672364555,0.9325154436962554
0.0020909048107256795,0.9312043557717793
0.0021729380945620888,0.9298677960625459
0.0022581898222140463,0.9285052697036386
0.0023467862641428795,0.927116272215905
0.00243885864482816,0.9257002893191876
0.002534543337130641,0.9242567967418942
0.0026339820642807075,0.9227852600269002
0.0027373221097915113,0.9212851343336511
0.002844716535607707,0.919755864236438
0.0029563244088129134,0.9181968835187551
0.0030723110372316816,0.9166076149636485
0.0031928482142749006,0.9149874701400071
0.0033181144733913427,0.9133358491846859
0.003448295352502206,0.9116521405804182
0.0035835836688103066,0.9099357209293878
0.0037241798043909638,0.9081859547224177
0.0038702920029876032,0.9064021941036704
0.004022136678451656,0.9045837786307843
0.00417993873528357,0.9027300350303336
0.004343931901749767,0.9008402769485525
0.004514359076068902,0.8989138046972076
0.004691472686180164,0.8969499049945442
0.004875535063626514,0.8949478507011788
0.005066818832106639,0.8929069005508848
0.00526560731127112,0.8908262988761299
0.005472194936360888,0.8887052753282962
0.005686887694309464,0.8865430445924466
0.005910003576955096,0.884338806096565
